hor,date,introduce,location,price,review,star

周志华, /2016-01-01,"http://product.dangdang.com/25089622.html 内容全面；结构合理；叙述清楚；深入浅出。人工智能领域中文的开山之作！ 这是一本面向中文读者的机器学习教科书, 为了使尽可能多的读者通过本书对机器学习有所了解, 作者试图尽可能少地使用数学知识. 然而, 少量的概率、统计、代数、优化、逻辑知识似乎不可避免. 因此, 本书更适合大学三年级以上的理工科本科生和研究生, 以及具有类似背景的对机器学习感兴趣的人士. 为方便读者, 本书附录给出了一些相关数学基础知识简介. 同类好书推荐： 机器智能 （人工智能领域的创新之作，三大主流方法的和谐统一！当今各种人工智能学说的集成创新。） 美国伯克利大学与Google人工智能科学家合作编写，全世界100多个国家1200多所大学使用。A Must Read for AI 图像处理、分析与机器视觉（第3",清华大学出版社,¥61.60,40014条评论,width: 90%;

Goodfellow, /2017-07-01,AI圣经！深度学习领域奠基性的经典畅销书！长期位居美国亚马逊AI和机器学习类图书榜首！所有数据科学家和机器学习从业者的必读图书！特斯拉CEO埃隆 马斯克等国内外众多专家推荐！ 深度学习是机器学习的一个分支，它能够使计算机通过层次概念来学习经验和理解世界。因为计算机能够从经验中获取知识，所以不需要人类来形式化地定义计算机需要的所有知识。层次概念允许计算机通过构造简单的概念来学习复杂的概念，而这些分层的图结构将具有很深的层次。本书会介绍深度学习领域的许多主题。 本书囊括了数学及相关概念的背景知识，包括线性代数、概率论、信息论、数值优化以及机器学习中的相关内容。同时，它还介绍了工业界中实践者用到的深度学习技术，包括深度前馈网络、正则化、优化算法、卷积网络、序列建模和实践方法等，并且调研,人民邮电出版社,¥115.90,23281条评论,width: 80%;

郑泽宇, /2018-01-01,前谷歌专家、现Tensorflow创业新贵，新版力邀现谷歌专家加盟，共话新版核心技术与前沿案例。 本书前版作为业界首著伴随Tensorflow火遍全球，旨在面向生产|商业场景，彻底贯通原理|实践。 深入原理|走访主创|结合真实项目，AI、ML团队争相赞誉力荐，与Tensorflow一道成为事实标准。 代码全面升级为1.4 版，重点关注新版功能，增设专题论述TF高层封装和深度学习自然语言应用。,电子工业出版社,¥85.40,7380条评论,width: 90%;

唐亘, /2018-06-01,1.在数据学科的角度，融合了数学、计算机科学、计量经济学的精髓。 2.为读者阐释了数据科学所要解决的核心问题 数据模型、算法模型的理论内涵和适用范围 3.以常用的IT工具 Python为基础，教会读者如何建模以及通过算法实现数据模型，具有很强的实操性。 4.本书还为读者详解了分布式机器学习、神经网络、深度学习等大数据和人工智能的前沿技术。 中国工程院院士、第三世界科学院院士、前中国科学院计算技术研究所所长李国杰， 易选股金融智能证券董事长，键桥通讯董事易欢欢作序推荐； GrowingIO 创始人兼 CEO张溪梦， 复旦大学教授、博士生导师、复旦大学航空航天数据研究中心主任杨卫东， 美国罗格斯大学管理科学及信息系统系终身教授，中国计算机学会大数据专家委员会委员林晓东，诚意推荐。,人民邮电出版社,¥95.00,1412条评论,width: 100%;

塔里克·拉希德, /2018-04-01,当前，深度学习和人工智能的发展和应用给人们留下了深刻的印象。神经网络是深度学习和人工智能的关键元素，然而，真正了解神经网络工作机制的人少之又少。本书用轻松的笔触，一步一步揭示了神经网络的数学思想，并介绍如何使用Python编程语言开发神经网络。 本书将带领您进行一场妙趣横生却又有条不紊的旅行 从一个非常简单的想法开始，逐步理解神经网络的工作机制。您无需任何超出中学范围的数学知识，并且本书还给出易于理解的微积分简介。本书的目标是让尽可能多的普通读者理解神经网络。读者将学习使用Python开发自己的神经网络，训练它识别手写数字，甚至可以与专业的神经网络相媲美。 本书适合想要了解深度学习、人工智能和神经网络的读者阅读，尤其适合想要通过Python编程进行神经网络开发的读者参考。 这是一本精心编写、给完全初学,人民邮电出版社,¥66.20,1565条评论,width: 100%;
