author,date,introduce,location,price,review,star

天工在线, /2017-09-01,电脑端资源获取方式： 1. 登录书链网 xue.bookln.cn，然后手机扫描电脑屏幕上出现的二维码即可成功注册 2. 在书链网搜索栏输入书名关键词，模糊搜索即可（如软件名称、软件版本等），无需输入书名全称 3. 在搜索结果中，点击所购图书的书名标题进入该书页面 4. 在该图书页面即可在线看视频以及下载配套资源 特别提醒：如果登录书链网，先搜书后注册的，搜索结果页会丢失，页面会跳回到刚登录书链网的状态，只需在该页面状态再次搜索或者回退即可查看所选书籍。如在书链网遇到问题无法获取资源的，请参考图书前言页中的提示，加入读者服务交流群获取资源。 1.三版32次印刷 畅销12万册 CAD畅销书全新再造。 2.Auto CAD官方认证首席专家、技术总监、全球认证讲师 主编。 3.书中大量同步视频二维码，手机扫码看视频，随时随地学。 4.120节同步高清,水利水电出版社,¥55.10,3153条评论,width: 90%;

CAE技术联盟, /2016-05-01,超详细视频讲解 手把手教您ug10.0从入门到精通 入门简单 实例详细 思路和步骤清晰 实战经验丰富 光盘含所有实例的源文件、素材，按书中实例操作时，可直接调用 赠送4套不同ug造型的设计案例及配套视频文件，增强实战，拓展视野,清华大学出版社,¥60.00,1592条评论,width: 90%;

徐江华, /2014-01-01,本书附赠网盘下载资料 我们教您的不仅仅是具体的操作方法，更重要的是思考方法，以不变应万变，相信我们的方法能帮您在工作上更上一层楼！国内破万册畅销品牌图书AutoCAD教程升级版！上市立即热销，迅速加印5次！AutoCAD一线授课专家联手倾力打造！中国工业设计门户网站 开思网 鼎力推荐！,中国青年出版社,¥24.10,9526条评论,width: 90%;

CAE技术联盟, /2017-10-01,本书实例、案例丰富，助你身经百战；经验、技巧汇萃，由一线设计师亲自传授工作经验；速查、速练、速用，千余资源免费赠送，力求在较短的时间让您高效、快速、深入掌握AutoCAD。1．配套自学视频：82节配套自学视频，全程实例操作演示，手把手教您。(*快速*容易学习方式)2．应用技巧汇总：101个AutoCAD应用技巧，提高绘图效率。（快速绘图及实战）3．疑难问题汇总：187个疑难问题解答，扫除学习障碍。（高效学习）4．典型练习题：9类习题精选，会做才是硬道理。（熟能生巧、深入巩固）5．常用图块集：393个常用图块，拿来改改就能用。（快速绘图及实战）6．全套工程图纸及视频：5大类全套工程图纸案例及配套视频，展现工作流程。（完全实战）7．AutoCAD 快捷键命令速查、AutoCAD 快捷键速查、AutoCAD 常用工具按钮速查。（快速绘图及实战）,清华大学出版社,¥77.20,361条评论,width: 100%;

赵罘, /2018-04-01,（1）实例解析?14章案例源文件和PPT教程 实践出真知，直接上手操作 动手会才是真学会。 （2）视频教学?25段同步指导视频 视频以二维码和光盘两种形式提供给读者 高效学习法帮助读者快速上手。 （3）丰富资源?SolidWorks官方技术白皮书 内含25个技术专题和100个教学视频 助力工作效率的提高。,人民邮电出版社,¥66.20,256条评论,width: 90%;

郭嘉琳, /2018-09-01,Rhino犀牛教程书籍，崭新的建模思维，送素材和效果文件，视频资料，渲染技术建模表现，全彩印刷,人民邮电出版社,¥74.00,10条评论,width: 100%;

天工在线, /2018-01-01,1.Auto CAD官方认证首席专家、技术总监、全球认证讲师 主编。 2.书中大量同步视频二维码，手机扫码看视频，随时随地学。 3.149节同步高清语言视频讲解，137个实例详尽分析。 4.适合于AutoCAD 2017软件、AutoCAD 2016软件、AutoCAD 2014软件、AutoCAD 2012软件。 5.10部各类辅助资料； （1）AutoCAD应用技巧精选（100条） （2）AutoCAD疑难问题精选（180问） （3）AutoCAD认证考试练习题（256道） （4）AutoCAD常用图块集（600个） （5）AutoCAD常用填充图案集（671个） （6）AutoCAD大型设计图纸视频及源文件（6套） （7）AutoCAD快捷键命令速查手册（1部） （8）AutoCAD快捷键速查手册（1部） （9）AutoCAD常用工具按钮速查手册（1部） （10）AutoCAD 2018工程师认证考试大纲（2部）,水利水电出版社,¥63.00,209条评论,width: 90%;

天工在线, /2018-01-01,1. Auto CAD官方认证首席专家、技术总监、全球认证讲师 主编。 2.书中大量同步视频二维码，手机扫码看视频，随时随地学。 3. 135节同步高清语言视频讲解，118个实例详尽分析。 4.适合于AutoCAD 2017软件、AutoCAD 2016软件、AutoCAD 2014软件、AutoCAD 2012软件。 5.10部各类辅助资料； （1）AutoCAD应用技巧精选（100条） （2）AutoCAD疑难问题精选（180问） （3）AutoCAD认证考试练习题（256道） （4）AutoCAD常用图块集（600个） （5）AutoCAD常用填充图案集（671个） （6）AutoCAD大型设计图纸视频及源文件（6套） （7）AutoCAD快捷键命令速查手册（1部） （8）AutoCAD快捷键速查手册（1部） （9）AutoCAD常用工具按钮速查手册（1部） （10）AutoCAD 2018工程师认证考试大纲（2部）,水利水电出版社,¥63.00,100条评论,width: 100%;

秦琳晶, /2017-01-01,素材下载 https://pan.baidu.com/s/1ggWjlSn 从草图 实体建模 零件装配 工程图制作 运动仿真 钣金设计，循序渐进的让读者轻松掌握CATIA V5R21强大的零件设计与装配功能；详细介绍了CATIA V5R21的曲线、曲面设计，以及逆向造型、曲面优化与渲染、关联设计等延伸知识；行业综合案例包括产品造型设计、模具设计、数控加工、2.5轴铣削、三轴曲面铣削、多轴铣削加工等。,清华大学出版社,¥85.10,423条评论,width: 80%;

赵罘, /2017-03-01,1．本书功能讲解齐全，包含了Solidworks的重要功能； 2．实例丰富，以典型机械结构为主，增加专业性； 3．可读性强：精心设计的排版方式增强了可读性，书中实例经典，案例不复杂但是利于理解和掌握，此外作者按照本书的特点提供多媒体教学光盘，给出实例录像、图形源文件、结果文件和学习要点，让读者抓住要点并进行针对性的学习。 4. 本书获得solidworks官方推荐，图书光盘提供官方视频教学及白皮书。,人民邮电出版社,¥66.20,899条评论,width: 90%;

王钰栋, /2012-09-01,更多精彩： 本系列丛书有： HyperMesh HyperView应用技巧与高级实例 OptiStruct HyperStudy理论基础与工程应用 RADIOSS理论基础与工程应用 MotionView MotionSolve应用技巧与实例分析,机械工业出版社,¥68.30,2652条评论,width: 90%;

CAD辅助设计教育研究室, /2017-11-01,6大解说版块：按 执行方式 操作步骤 选项说明 初学解答 熟能生巧 精益求精 的顺序，全方位解读命令。 3大索引功能查询：提供 AutoCAD常见问题 AutoCAD行业知识 AutoCAD命令快捷键 3大索引查询，快速定位所需内容。 软件与行业结合：精心准备了操作练习，对命令介绍进行补充训练，结合行业实际工作需要，穿插87个小提示，全面提升绘图技能。 视频教学与丰富资源赠送：102个实战练习和6大行业应用综合案例的素材及效果源文件；149集高清语音教学视频共717分钟；《CAD常用命令键大全》《CAD常用功能键速查》《CAD机械标准件图库》《室内设计常用图块》《电气设计常用图例》《服装设计常用图块》《107款经典建筑图纸赏析》《112个经典机械动画赏析》《117张二维、三维混合练习图》9本电子书。 视频教程、实战训练以及电子书下载资源尽在封底，扫码即可获得,人民邮电出版社,¥66.20,441条评论,width: 80%;

南山一樵工作室, /2018-01-01,1 实例解析 164个典型的案例源文件 实践出真知，直接上手操作，动手会才是真学会。 2 视频教学 12小时40分钟的指导视频 视频以二维码和光盘两种形式提供给读者，高效学习法帮助读者快速上手。 3 丰富资源 AutoCAD官方认证考试大纲和样题 更有393个常用图库源文件和100个绘图技巧助力工作效率的提高,人民邮电出版社,¥52.80,436条评论,width: 100%;

