author,date,introduce,location,price,review,star

吴翰清, /2014-06-01,◎ 阿里巴巴集团首席技术官原阿里云总裁王坚|无码科技创始人冯大辉|UCloud创始人季昕华|知道创宇创始人赵伟|乌云平台创始人方小顿|淘宝核心技术专家林昊 联合力荐。 ◎ 首度以白帽子视角梳理Web安全技术及完整攻防策略，针对网站如何应对漏洞|保障安全，指导开发更安全网站，详述大量工业化安全实战及其思考过程|优劣分析。 ◎ 首度提出互联网安全与传统安全有别，给出更具针对性的解决方案，读者可有幸亲自聆听阿里安全技术体系从无到有的直接建设者亲述一线安防经验。 ◎ 辖世界观|客户端脚本|服务端应用|互联网运营几大核心安全主题，独创性地深入剖析安全本质，提升结合实际情况快速解决问题的思考能力。,电子工业出版社,¥66.20,4725条评论,width: 90%;

Justin, /2015-08-01,适读人群 ：本书适合有一定编程基础的安全爱好者、计算机从业人员阅读，特别是对正在学习计算机安全专业，立志从事计算机安全行业，成为渗透测试人员的人来说，这本书更是不可多得的参考。 当你需要开发强大有效的黑客工具时，Python是绝大多数安全分析人员的上佳之选；当遭遇危及安全的攻击时，编写强大工具的能力不可或缺。本书是Justin Seitz新作，它将向你揭示Python的黑暗面 编写网络嗅探工具、操控数据包、感染虚拟主机、制作隐蔽木马等。此外，本书通过技术探讨和解决富于启发性问题，还向你揭示如何扩展攻击能力和如何编写自己的攻击代码。 使用GitHub创建命令控制型木马 检测沙盒和自动化恶意软件任务，例如键盘记录和截屏 使用创新型的进程控制技术进行Windows权限提升 使用激进式的内存取,电子工业出版社,¥52.80,2405条评论,width: 100%;

段钢, /2018-09-01,,电子工业出版社,¥136.60,0条评论,width: 0%;

, /2018-07-01,,人民邮电出版社,¥62.80,1条评论,width: 0%;

网络安全技术联盟, /2018-04-01,本书在剖析用户进行黑客防御中迫切需要用到或迫切想要用到的技术时，力求对其进行傻瓜式的讲解，使读者对网络防御技术形成系统了解，能够更好地防范黑客的攻击。全书共分为15章，包括计算机安全快速入门、常用的扫描与嗅探工具、系统漏洞防护工具、远程控制防守工具、文件加密、解密工具、账户/号及密码防守工具、U盘病毒防御工具、计算机木马防守工具、计算机病毒查杀工具、局域网安全防护工具、后门入侵痕迹清理工具、数据备份与恢复工具、系统安全防护工具、系统备份与恢复工具、无线网络安全防御工具内容。另外，本书还赠送海量王牌资源，包括1000分钟精品的教学视频、107个黑客工具的速查手册、160个常用黑客命令的速查手册、180页的常见故障维修手册、191页的Windows 10系统使用和防护技巧、8大经典密码破解工具详解、加密与解密技术快速入,清华大学出版社,¥60.00,82条评论,width: 100%;

风云工作室, /2015-11-01,适读人群 ：网络爱好者，网络安全从业人员及网络管理员 本书特色 ★知识丰富：涵盖了所有黑客攻防知识点，除了讲解有线端的攻防策略外，还融入了时下流行的无线攻防、移动端攻防、手机钱包等热点。 ★图文并茂：注重操作，图文并茂，在介绍案例的过程中，每一个操作均有对应的插图。 ★案例丰富：把知识点融于系统的案例实训当中，并且结合经典案例进行讲解和拓展。 ★ 赠送（读者可联系QQ群221376441获得编者赠送资源） ★赠送1：950分钟实战教学视频 ★赠送2：188页Windows 8系统使用和防护技巧 ★赠送3：180页常见故障维修手册 ★赠送4：160个常用黑客命令速查手册 ★赠送5：107个黑客工具速查手册 ★赠送6：教学用PPT课件,化学工业出版社,¥41.20,4144条评论,width: 80%;

结城浩, /2016-06-01,畅销书全面升级！新增椭圆曲线密码、比特币等前沿内容！ 旧版稳居亚马逊计算机安全类No.1 日本数学协会出版奖得主、《程序员的数学》《数学女孩》作者 结城浩重磅力作！ 好懂的密码学！ 第3版全面修订，内容更前沿 第3版对全书内容进行了大幅更新，并新增POODLE攻击、 心脏出血 漏洞、Superfish事件、SHA-3竞赛、Keccak、认证加密、椭圆曲线密码、比特币等新内容。 拒绝繁冗的数学公式和干巴巴的理论 无需编程基础，配图讲解，真的很好懂！ 全面涵盖现代密码技术 对称密码、公钥密码、单向散列函数、消息认证码、数字签名、伪*数生成器、量子密码、量子计算机，一网打尽。,人民邮电出版社,¥61.40,1324条评论,width: 100%;

米特尼克, /2014-09-01,作者是全球首位被通缉和入狱的黑客，他与帮助 FBI 抓捕他的日裔黑客之间的对战颇具传奇色彩 展示信息安全的薄弱环节，并指出为什么个人和企业处于社会工程师攻击的危险之下 展示黑客如何利用人们的信任、乐于助人的愿望和同情心使你上当受骗，从而获得他们想要的信息 以小说故事的形式来叙述典型的攻击案例，给读者演示黑客可以戴上许多面具并冒充各种身份,清华大学出版社,¥42.80,665条评论,width: 90%;

张炳帅, /2015-04-01,更多前端好书，请点击链接,电子工业出版社,¥56.60,1021条评论,width: 90%;

Stuart, /2013-09-01,（1）本书是在前6版的基础上(前期产品累计销售超20万册)对内容进行全面更新和扩充，相信本书（第7版）一定能够延续前几版的良好销售趋势。 （2）《黑客大曝光》是全球销量**的网络和计算机信息安全图书，也是有史以来写得*为成功的信息安全旷世之作，要想成为真正的网络和电脑专家，或者你在朋友圈子里是小有名气的网络和电脑技术 高手 ，如果不太懂得网络和电脑信息安全技术或者不太了解黑客攻击技术，那基本上只能算是半个专家。要想名副其实，本书就是你成为真正高手的 武林秘籍 。,清华大学出版社,¥110.90,1865条评论,width: 90%;

David, /2017-06-01,自2013年首次问世以来，本书迅速掳获了从业人员的芳心。作为*一本经官方团队亲自评审并高度认可（ 现今已有*好的Metasploit框架软件参考指南 ）的著作，本书不仅涵盖了基础的工具和技术，也深入分享了如何实施渗透测试的方法与经验。四位来自不同领域的资深黑客作者从不同的视角无私奉献了他们的技巧与心得：既贡献了企业安全架构上的经验，也端出了安全漏洞挖掘和渗透代码开发的 私房菜 。 本次的修订版，在译者的精心组织与编排下完成，主要的修订在于：基于Metasploit*的版本复现并更新了原书的实验案例，同时考虑到国情与本地化的需求，将关键的实验对象、分析工具等换成了国内读者更容易接触和使用的替代品。这使读者能更容易通过复现实验过程，深刻而快速地掌握相关渗透技巧。 译者来自诸葛建伟老师的团队。诸葛建伟老师是XCTF联,电子工业出版社,¥75.80,412条评论,width: 100%;

卡梅伦, /2018-07-01,无线网络在我们的生活中无处不在，无线渗透测试也成为安全从业人员的一项重要技能。而且随着KRACK攻击（攻击者可以用来攻破使用WPA2加密的WiFi网络）的出现，无线渗透测试再一次引起了人们的重点关注。Kali Linux带有大量用于检测安全漏洞的工具，可以用来执行各种网络测试任务。 本书针对新近出现的各种方法论进行了全面更新，全面涵盖了KRACK攻击原理以及防御该攻击的方法。本书从零基础讲解了无线渗透测试的知识，介绍了每一种渗透测试技术的所有相关内容，并借助于大量案例演示了无线测试的方法论。通过本书，读者可以学到无线路由和加密的基础知识，还将学到各种破解方法和攻击（比如Hirte和Caffe Latted）的细节内容。 本书内容： 全面理解KRACK攻击； 创建无线测试环境； 嗅探无线数据包、隐藏网络和SSID； 捕获和破解WPA2密钥； 嗅探探针请求，并通,人民邮电出版社,¥47.00,9条评论,width: 100%;

潘国辉, /2014-06-01,随着云计算/存储、大数据、物联网、移动互联网等新技术的推进，安防领域也有了翻天覆地的变化，本书**版创造了“安防领域**书”的口碑，4年过去，仍然保持火热销售态势，然而，如前所述，安防领域的技术有了很多革命性突破，为此，本书针对*前沿、*实用的新技术、新方案，并添加了作者*近4年积累的**案例，同时删除了一些过时的内容及案例，形成了这本《安防天下2》。无论从技术上、思维上还是高度上，都比本书上一版有了质的飞跃。希望能为本行业的读者提供实实在在的参考。 清华大学出版社 栾大成,清华大学出版社,¥85.10,1777条评论,width: 90%;

Saadat, /2013-08-01,Cisco Press出版的CCIE职业发展系列中的一本，该书在网络设计、部署和支持等方面提供了专家级的指导，可以帮助网络从业人员管理负责的网络，并为CCIE考试做好准备。 设计和部署可扩展BGP路由架构的实战指南。 CIE认证考试人员必备图书。,人民邮电出版社,¥103.70,594条评论,width: 90%;

赵诚文, /2018-01-01,从整体概念到基础知识，在庞大的安全领域中摘取 黑客攻击之花 ！ 基于Windows系统，快速上手。 使用VirtualBox虚拟机，轻松搭建成本低廉的测试环境。 采用大量示意图，易学易用。,人民邮电出版社,¥46.40,205条评论,width: 100%;

帕尔, /2012-09-01,《深入浅出密码学 常用加密技术原理与应用》可以帮助读者深入地理解现代加密方案的工作原理。本书在对大学级别微积分背景要求*少的情况下，以*通俗易懂的方式介绍了必要的数学概念。所以，对本科生或即将开始学习研究生课程的学生而言，本书是一本非常合适的教科书；而对期望更深入理解现代密码学的职业工程师或计算机科学家而言，本书则是极具价值的参考书。本书作者帕尔和佩尔茨尔长期执教于计算机科学与工程系，拥有十分丰富的应用密码学教学经验。,清华大学出版社,¥50.70,1114条评论,width: 90%;

Atul, /2018-01-01,（1）以自底向上的方式介绍：从密码学到网络安全，再到案例研究。（2）涵盖了*内容：IEEE 802.11安全、Elgamal加密、云安全以及Web服务安全。（3）对加密法、数字签名、SHA-3算法的介绍进行了改进。（4）通过案例研究，帮助读者掌握相关内容的实际应用。（5）全书提供了丰富的编程题、练习题、多项选择题、与案例研究，有利于加深读者对所学知识的理解和掌握：■ 150道编程题■ 160道练习题■ 170道多选题■ 530幅插图■ 10个案例研究,清华大学出版社,¥67.90,111条评论,width: 90%;

Daniel, /2016-03-01,在日新月异的信息安全领域，《灰帽黑客》系列丛书无疑是及时了解相关信息的可靠资源。强烈建议所有希望快速掌握安全技术的人士阅读本书。 OpenRCE和Zero Day Initiative创始人Pedram Amini,清华大学出版社,¥68.60,697条评论,width: 100%;

陈晓光, /2018-03-01,多年实战经验归纳总结的业务安全测试点和步骤，大量案例再现了典型业务安全场景，梳理出了整个业务安全体系漏洞挖掘的方法论。 本书得到了诸多专家推荐，严寒冰，徐凯，任望，陈新龙，余弦，白掌门，袁劲松 企业经营的核心命脉是业务，一切以业务可持续发展为优先安全保障 本书立足于实践，再现了典型业务安全场景，总结了业务安全风险评估的过程和方法 对于业务及开发人员来说本书可以让你的团队开发出的业务更安全、更可靠 本书作者长期从事网络安全漏洞分析的相关工作，经验非常丰富,电子工业出版社,¥66.20,292条评论,width: 100%;

Dafydd, /2012-07-01,安全技术宝典全新升级 亚马逊书店五星赞誉 深入剖析，实战演练，使你如饮醍醐 推荐组合购买： 黑客攻防技术宝典：iOS实战篇 （iOS平台破解与攻防**书，美国国家安全局全球网络漏洞攻击分析师、连续4年Pwn2Own黑客竞赛大奖得主CharlieMiller领衔，6位**信息安全专家倾情奉献，阵容豪华、内容权威、****、不容错过！）,人民邮电出版社,¥68.30,3704条评论,width: 90%;

蔡晶晶, /2018-05-05,,机械工业出版社,¥75.80,304条评论,width: 100%;

Christopher, /2013-12-01,,人民邮电出版社,¥46.60,1177条评论,width: 90%;

李华峰, /2018-05-01,本书是由具有多年网络攻防和教学经验的一线网络安全教师编写，本书目前的优势在于以下三点： *，作者具有多年的网络安全工作实践经验，会深入的讲解Kali系统各种工具的用法。 第二，作者利用本身多年的实践教学经验，将会帮助读者建立一个完整的学习体系。 第三，作者在本书中穿插各种现实工作的实例，以故事情节展开技术的讲解完成本书。,人民邮电出版社,¥75.80,92条评论,width: 100%;

