author,date,introduce,location,price,review,star

秋叶, /2017-06-01,"PPT图书必读，读者5颗星强烈推荐， 颠覆你对PPT的认识，让培训师压力山大。 让你在短时间内制作出提升职场竞争力的PPT，为你开启通往职场达人的大门！ 如果你是小白，仅仅会用一点Word 你应该去网易云课堂，参加""和秋叶一起学PPT""在线课程； 如果你PowerPoint熟练使用，想利用碎片时间不断提升 请关注微信【PPT100】; 如果你不想错过任何职场好资源 请关注微博@秋叶 ； 如果你真正想成为职场达人，用逻辑和视觉化PPT表达搞定工作 请购买《说服力》三本套装！（说服力：让你的PPT会说话 工作型PPT该这样做 教你做出专业又出彩的演示PPT（第2版）） 如果你觉得自己PPT制作水平一般，缺乏足够的制作技巧，希望全面提升 你应该买一本《和秋叶一起学PPT》图书！ 1. 怕又买错书？ 这本书亮点太多，无力吐槽，爱不释手，相见",人民邮电出版社,¥95.00,49205条评论,width: 90%;

秋叶, /2017-09-01,秋叶Office套装包含了秋叶团队出品的三本图书： 《和秋叶一起学PPT（第3版）》 《和秋叶一起学Excel》 《和秋叶一起学Word（2版）》 为购买这套书的读者，我们特意准备了超级资源大礼包： 200套微软OfficePlus官方出品Word/Excel/PPT办公模板 220份秋叶团队出品的精美读书笔记PPT 88期秋叶PPT社群内部分享稿 300元网易云课堂秋叶系列课程专用优惠券 1800个Excel典型表格模板 2000个Word精选文档模板 Office 2016快捷键查询手册 Word/Excel/PPT 2016技巧手册 Excel函数查询手册 Windows 10操作系统安装教学录像 Office 2016软件安装教学录像 购买套装后，请联系秋叶团队客服QQ（800158890）领取。 对于接触这套丛书的读者， 如果你是： 被老师要求课程设计撰写论文的大学生 刚毕业不久想早日脱颖而出的职场新人 正经历中年危机希望重新开始的跳槽者 想用,人民邮电出版社,¥256.30,4537条评论,width: 90%;

邵云蛟, /2016-10-01,,电子工业出版社,¥56.60,23898条评论,width: 90%;

米尔顿, /2012-12-01,我们生活在数据的天地里，你的工作就是淋漓尽致地发挥数据的作用。从哪里起步？米尔顿编著的《深入浅出数据分析》将为你提供帮助：利用Excel或0penoffice应用程序组织数据，在R应用程序中进行进一步整理，通过散点图和直方图找出有意义的模式，借助启发式算法做出结论，通过实验和假定测试预见未来，再以清楚直观的图形展示分析结果。无论你是研究新产品可行性的开发人员，还是评估广告效果的市场营销经理；无论你是向客户呈报数据的营销员，还是管理所有这些数据密集型部门及种种其他事务的个人企业家，《深入浅出数据分析》都能为你带来全面的学习体验，让你将数据转变为事业中有用的工具。,电子工业出版社,¥84.50,11997条评论,width: 90%;

秋叶, /2017-06-01,对于首次接触这套丛书的读者，我坚信这是你学习Office三件套软件上佳读物。 秋叶PPT团队从2013年全力以赴做Office职场在线教育，已经是国内很有影响力的，截至2016年年底就有超过10万名学员报名和秋叶一起学习Office课程。 我们非常了解大家在学习和使用Office软件过程中的难度和痛点，不仅如此，我们也深刻理解为什么市场上的那么多课程或者图书让读者难以坚持学习下去。 因此我们对写书的要求是 内容新、知识全、阅读易 ，既要体现Office新版本软件的新功能、新用法、新技巧，也要兼顾到工作中会用到但未必经常用到的冷门偏方，更要兼顾到当今读者的阅读习惯，让我们的图书可以系统学习，也方便碎片阅读。 我们给自己提出了极高的挑战，我们希望秋叶系列图书能得到读者的口碑推荐，发自内心的喜欢。 做一套好图书就是打磨一套好产品，我们愿意精,人民邮电出版社,¥95.00,7846条评论,width: 90%;

张文霖, /2016-05-01,几十万读者的口口相传，才有这本畅销小黄书 装帧精美的纪念版进行了细致修订并奉上增值内容 新增配套60分钟高清视频讲解难点。 新增配套20款高质量图表模板，修改就能上手用。 新增配套1款高质量的PPT图表总结模板。 EXCEL数据分析就像一本故事书 专业化图表，让你的工作更出彩 15位业内专家的鼎力推荐 推荐购买： 《PPT设计思维：教你又好又快搞定幻灯片（全彩）》 更多计算机好书请关注： 电子工业出版社当当自营店,电子工业出版社,¥56.60,23795条评论,width: 90%;

邓芳, /2012-07-01,《Excel高效办公 数据处理与分析(修订版)》由多位Excel应用专家与资深职场人士精心编著，深度呈现Excel强大的数据处理与分析能力！ 《Excel高效办公 数据处理与分析(修订版)》帮助读者轻松处理海量数据，抓住数据底层有价值的规律与信息！ 《Excel高效办公 数据处理与分析(修订版)》配套光盘内容：90分钟数据录入与处理视频讲解，120分钟数据分析经典案例视频讲解，30分钟常用办公设备及办公软件应用视频讲解。 另外赠送1100套Office办公模板、常见问题解答300例、Excel应用技巧 Excel快捷键，公司日常管理工作手册，帮您轻松搞定财务/人力资源/生产/文秘/行政等岗位的制度、工作流程及常用表格。,人民邮电出版社,¥47.80,26831条评论,width: 90%;

