author,date,introduce,location,price,review,star

唯美世界, /2017-11-01,《中文版Photoshop CC从入门到精通》 获取附赠电子书请关注公众号获取【扫描实物书封底以及前言中的二维码】 本书显著特色 1.配套视频讲解，手把手教您学习 本书配备了大量的同步教学视频，涵盖全书几乎所有实例，如同老师在身边手把手教您，可以让学习更轻松、更高效！ 2.二维码扫一扫，随时随地看视频 章首页、重点、难点、知识点等多处设置了二维码，通过微信扫一扫，可以在随时随地在手机上看视频。（若个别手机不能播放，可下载后在电脑上观看） 3.订制学习内容，短期内快速上手 Photoshop功能强大、命令繁多，全部掌握需要较多时间。如想在短期内学会用PS进行*修图、数码照片处理、网页设计、平面设计等，不必耗时费力学习PS全部功能，只需根据本书的建议学习部分内容即可。 4.内容极为全面，注重学习规律 本书涵盖了Photoshop CC 2017几,水利水电出版社,¥78.80,5903条评论,width: 90%;

李金明, /2012-07-01,Photoshop 经典畅销书全新升级。 完全的功能讲解，全面讲解Photoshop CS6功能命令，真正做到完全解析、完全自学 完备的命令检索，软件功能索引，帮助您快速、准确查询信息 学习与练习结合，74个技术看板，200个实战练习和65个综合实例，助您掌握并巩固Photoshop CS6重要命令和主要应用 视频与图书互补，DVD教学光盘包含书中所有实战和综合实例的视频教学录像，同时赠送106集《Photoshop CS专家讲堂》。 为Photoshop 学习者精心打造的学习盛宴，经久不衰。,人民邮电出版社,¥95.00,58465条评论,width: 90%;

唯美世界, /2018-07-01,附赠配套资源及电子书请关注公众号获取【扫描实物书封底以及前言中的二维码】，或加入学习交流群获取【学习交流群号见书本前言中的提示】。 1. 配套视频讲解，手把手教您学习 本书配备了308集教学视频，涵盖全书几乎所有实例和重要知识点，如同老师在身边手把手教您，可以让学习更轻松、更高效！ 2. 二维码扫一扫，随时随地看视频 本书重要知识点和实例均录制了视频，并在书中的相应位置处设置了二维码，通过扫码，可以随时随地在手机上看视频。 3. 内容极为全面，注重学习规律 本书涵盖了Photoshop几乎所有工具、命令常用的相关功能，是市场同类书中内容*全面的图书之一。同时采用 知识点 理论实践 实例练习 综合实例 技术拓展 技巧提示 的模式编写，也符合轻松易学的学习规律。 4. 实例极为丰富（210个），强化动手能力 轻松动手,水利水电出版社,¥78.80,37条评论,width: 90%;

安德鲁, /2017-08-01,Adobe公司推出的经典教程 畅销全球20年的图书 在全世界以27种语言火爆发行 以实例引导的正规学习用书。 让每位Photoshop用户有机会学习Adobe专家的使用技巧。 提供完整教学资源：素材文件、复习题及答案。 学习如何校正、修饰和修复数码照片；创建合成图像；准备用于打印和Web的图像；使用动作来自动执行任务；编辑视频，包括过渡和动感效果；使用内容感知工具无缝地修复图像；准备和打印3D对象。 本书提供了学习Adobe Photoshop CC的快、简单、全面的学习方式。 Adobe Press出版的经典教程系列图书是市面上畅销的Adobe软件培训用书，该系列图书由Adobe产品专家开发，并得到了Adobe公司的授权和认可。 本书分为15课，包含了Adobe Photoshop CC的基础知识，提供了大量的提示和技术，帮助读者更高效率地使用Photoshop软件。您可以按照顺序逐章阅读，也可以挑选感兴趣的课程学,人民邮电出版社,¥95.00,5995条评论,width: 90%;

赵鹏, /2015-01-10,豆瓣评分**的Photoshop书之全新升级！ 你所见过的、听过的、震感过的PS技术，尽在本书。 数十万P友信赖的Photoshop入门与进阶神书！ 配超过8小时关键操作1080P全高清视频 超级全面 超级震撼 超级详细 超级实用 《毫无 PS 痕迹 - 你的**本 Photoshop 书》是豆瓣**评分 Photoshop 书 《大师之路》的全新升级版本！超千万次点击，好评如潮，众多 Photoshop 疑难问题都从中获得了满意答案，并配有著名 Photoshop 大师赵鹏老师亲自主讲的 8 小时 1080P 高清 DVD 视频精彩实战课程。 Photoshop的书市面上有很多。其中有那么一两本销量还极其大，大到给每一个想要策划Photoshop类图书的编辑都造成相当大的心理压力。这对我也是一样，每次想到这一点，我都会问自己，是否该就此罢手？ 没有调查就没有发言权。我找来市,水利水电出版社,¥77.40,17972条评论,width: 90%;

刘津, /2018-08-01,互联网下半场来袭，从业者需要做出怎样的变化，以应对风云突变的大环境呢？ 在瞬息万变的互联网新时代， 用户导向 的设计师和 业绩导向 的产品经理，如何顺势转型为 以产品价值为中心 的产品设计师？ 本书作者结合多年从事互联网产品架构和设计工作的思路，融会贯通，提炼出顺应新时代的互联网产品设计内在规律，旨在帮助读者在波涛汹涌、充满不确定性的大环境下，改变命运，不惧未来！ 本书延续了 破茧成蝶 系列图书的一贯风格，语言平实生动、视野取材广泛、案例贴近实际，图文并茂，适合处于不同成长阶段的产品经理、用户体验设计师、产品运营人员等阅读参考。 伟大的产品永远会有一种独特的观点，这种观点是建立 在对客户深刻的同理心之上的，贴近并且引导用户的需求， 快速地不断学习、迭代、进化，进而创造价值并推动业务高 速增长。,人民邮电出版社,¥75.80,55条评论,width: 90%;

马克西姆·亚戈, /2018-01-01,Adobe公司推出的经典教程 畅销全球20年的图书 在全世界以27种语言火爆发行 以实例引导的正规学习用书。 让每位Premiere Pro用户有机会学习Adobe专家的使用技巧。 提供完整教学资源：素材文件、复习题及答案。 学习在Adobe Premiere Pro CC中编辑视频，以及充分发挥工作流的功效；从头到尾创建一个项目，从中学习如何组织媒体、添加音频、创建切换、制作字幕、添加效果以及处理VR 视频；进一步处理项目，美化并混合声音、合成素材、调整颜色、使用编辑技术、管理项目、导出项目等。 本书提供了学习Adobe Premiere Pro CC的很快、很简单、很全面的学习方式 Adobe Press出版的经典教程系列图书是市面上畅销的Adobe软件培训用书，该系列图书由Adobe产品专家开发，并得到了Adobe公司的授权和认可。 本书分为18课，包含了Adobe Premiere Pro CC的基础知识，提供了大量的提示和技术，帮助,人民邮电出版社,¥132.50,977条评论,width: 90%;

唯美世界, /2018-05-01,1. 配套视频讲解，手把手教您学习 本书配备了243集教学视频，涵盖全书几乎所有实例和重要知识点，如同老师在身边手把手教您，可以让学习更轻松、更高效！ 2. 二维码扫一扫，随时随地看视频 本书重要知识点和实例均录制了视频，并在书中的相应位置处设置了二维码，通过扫码，可以随时随地在手机上看视频。 3. 内容极为全面，注重学习规律 本书涵盖了3ds Max几乎所有工具、命令常用的相关功能，是市场同类书中内容*全面的图书之一。同时采用 知识点 理论实践 实例练习 综合实例 技术拓展 技巧提示 的模式编写，也符合轻松易学的学习规律。 4. 实例极为丰富（171个），强化动手能力 轻松动手学 便于读者动手操作，在模仿中学习。 举一反三 可以巩固知识，在练习某个功能时触类旁通。 实例 用来加深印象，熟悉实战流程。后面几章的大型商业案例,水利水电出版社,¥78.80,482条评论,width: 90%;

