author,date,introduce,location,price,review,star

鸟哥, /2010-07-01,台湾知名Linux网站站长鸟哥新作 畅销不衰的Linux经典入门图书 适用于各种常见版本的Linux Linux管理人员必备的参考手册,人民邮电出版社,¥84.50,50594条评论,width: 90%;

刘遄, /2017-12-01,源自国内阅读人数chao高的同名电子书，通俗易懂，简单好学 bi读的Linux系统与红帽RHCE认证自学图书，30余家行业媒体齐声推荐 基于Linux系统RHEL 7编写，通用于CentOS、Fedora等主流衍生版本 随书配套站点免费提供所需软件工具、在线阅读、扩展资料等多种增值服务 本书基于RHEL 7系统编写，面向零基础读者，从Linux基础知识讲起，然后渐进式地提高内容难度，详细讲解Linux系统中各种服务的工作原理和配置方式，以匹配真实生产环境对运维人员的要求，突显内容的实用性。本书每章都带有大量的图、表、命令示例以及课后习题，旨在增强读者的理解能力并巩固所学知识。 本书的配套站点www.linuxprobe.com还提供了书中用到的软件和大量学习资料，以及答疑服务，为读者切实入门Linux系统保驾护航。,人民邮电出版社,¥75.80,6661条评论,width: 90%;

W.Richard, /2014-06-01,20多年来，严谨的C程序员都是依靠一本书来深入了解驱动UNIX和Linux内核的编程接口的实用知识的，这本书就是W.RichardStevens所著的《UNIX高级环境编程》。现在，Stevens的同事SteveRago彻底更新了这本经典著作。新的第3版支持当今领先的系统平台，反映了*技术进展和*实践，并且符合*的SingleUNIXSpecification第4版（SUSv4）。 Rago保留了使本书前版成为经典之作的精髓和方法。他在Stevens原著的基础上，从基础的文件、目录和进程讲起，并给诸如信号处理和终端I/O之类的先进技术保留较大的篇幅。他还深入讨论了线程和多线程编程、使用套接字接口驱动进程间通信（IPC）等方面的内容。 这一版涵盖了70多个*版POSIX.1标准的新增接口，包括POSIX异步I/O、旋转锁、屏障（barrier）和POSIX信号量。此外，这一版删除了许多过时的接口，保留了一些广泛使用的接口。书中几乎所,人民邮电出版社,¥122.90,5540条评论,width: 90%;

布鲁姆, /2016-08-01,精通Linux命令行与shell脚本编程，尽在本书中本书是关于Linux命令行和shell命令的全面参考资料，涵盖详尽的动手教程和实际应用指南，并提供相关参考信息和背景资料，带你从Linux命令行基础入手，直到写出自己的shell。时隔四年后的这一版本，针对Linux的新特性和实践，进行了全面更新。使用简单的shell脚本工具实现任务自动化创建shell脚本，全面理解shell的用途管理文件系统与软件包使用nano、KDE及GNOME等编辑器学习结构化命令、文本处理及正则表达式创建与电子邮件、数据库及Web相关的实用脚本优化环境、微调脚本,人民邮电出版社,¥75.20,3622条评论,width: 90%;

博韦, /2007-03-01,"Linux畅销图书《Understanding the Linux Kernel》新版中文译本 本书指导你对内核中使用的*重要的数据结构、算法和程序设计诀窍进行一次遍历,相关的代码片段被逐行剖析。 更多精品类图书请点击： http://book.dangdang.com/20130427_j3x0",中国电力出版社,¥65.20,10420条评论,width: 90%;

鸟哥, /2012-07-01,畅销书《linux鸟哥私房菜——服务器架设篇》第三次改版升级 适用于各种主流Linux版本，可作为已具有Linux操作系统相关知识的网络系统管理人员的参考手册。,机械工业出版社,¥74.50,8558条评论,width: 90%;

兰德尔, /2016-11-14,1.第二版销售突破100000册，第三版重磅上市！ 2.理解计算机系统*书目， 10余万程序员的共同选择 3.卡内基-梅隆、北京大学、清华大学、上海交通大学等国内外众多知名高校选用指定教材 4.从程序员视角全面剖析的实现细节，使读者深刻理解程序的行为，将所有计算机系统的相关知识融会贯通。 5.新版本全面基于X86-64位处理器 6.全新的阅读和学习体验：由国内名师录制章前导读，使读者可以了解各章的重点内容和知识关联，形成关于计算机系统的知识架构。并开设了本书的网络社区，读者可加入社区，获得本书相关学习资源，了解活动信息。,机械工业出版社,¥133.40,7293条评论,width: 90%;

何明, /2018-04-01,本书是基于Oracle Linux编写的入门类图书，覆盖Linux认证几乎所有知识点。 1.教程 视频讲解 实体分析 教学讲义 在线服务。 2.扫描书中二维码，可在手机、电脑同步看教学视频。 3.76集高清微视频覆盖全书，集视、听演示于一体，边看边学更快捷。 4.219项Linux认证试题详尽分析。 5.小说式编写风格，幽默风趣，能看懂，好学会。 6.实战派资深讲师，为几十家大型企业做过培训。 7.编写方式采用 基础知识 中小实例 模式编写，由浅入深，扫除学习障碍，快速学习。 8.在线服务：QQ群、微信公众号在线服务，即时在线交流本书的所有疑难问题。,水利水电出版社,¥70.90,395条评论,width: 100%;

Eric, /2012-08-01,《传世经典书丛:UNIX编程艺术》内容涉及社群文化、软件开发设计与实现，覆盖面广、内容深邃，完全展现了作者极其深厚的经验积累和领域智慧。 推荐购买： 《ZeroMQ：云时代极速消息通信库》 （大规模 | 可扩展 | 低成本 | 高效率解决之道，大规模分布式 | 多线程应用程序 | 消息传递架构构建利器） 《从Paxos到Zookeeper：分布式一致性原理与实践》 （分布式一致性及 ZooKeeper 实战著作） 《社交电商》 《 元素模式 》 《实现领域驱动设计》 《游戏引擎架构》 《**技术这十年》 《 Fedora 和 Red Hat Enterprise Linux 实用指南（第 6 版） ( 上、下册 ) 》,电子工业出版社,¥95.00,1053条评论,width: 90%;

绍茨, /2013-03-01,"涵盖全部的Linux核心命令,解读深奥的Linux详细参数,设计串联的Linux命令组合,跟踪可疑的Linux执行过程,提供丰富的Linux应用示例",人民邮电出版社,¥66.20,1387条评论,width: 90%;

杰夫瑞, /2008-10-01,亮点：长销不衰的Windows编程经典 权威力作 再度新鲜亮相 名著名译 彰显经典魅力 深刻剖析底层实现机理 直击Windows编程精髓 Windows核心编程（第5版）针对Windows XP，Windows Vista和Windows Server2008全面修订。主题广泛，内容丰富，讲解深入而精辟。透过这本Windows编程经典，我们可以在专家的悉心指导下，洞悉Windows编程精华，深入了解高级编程技巧，编写出高性能的Windows应用程序。 本书重要主题： 如何为32位和64位Windows系统构建和实现应用程序； 如何新建和处理进程与作业； 如何调度．管理、同步和销毁线程； 如何通过I/O完成端口执行同步和异步设备I/O操作； 如何使用虚拟内存、内存映射文件和堆之类的各种技术来分配内存； 如何处理默认调拨的线程栈物理存储； 如何为延迟加载、API拦截和进程注入构建DLL,清华大学出版社,¥85.10,4287条评论,width: 90%;

科波特, /2010-09-01,本书作者均为Linux社区的领导者。译者是MiniGUI的创始人魏永明。本书紧跟内核的发展步伐。完整地描述了2.6.10内核，希望能够成为那些想 成为内核黑客但却不知如何下手的人们的良好起点。 更多精品类图书请点击： http://book.dangdang.com/20130427_j3x0,中国电力出版社,¥52.70,7871条评论,width: 90%;

Vaughn, /2014-03-01,著译俱佳 ThoughtWorks资深咨询师倾力译校 完整涵盖DDD各方面知识 提供大量示例代码 案例贯穿全书 理论与实践紧密衔接之典范 架构师、程序员境界提升不可或缺之必选书目,电子工业出版社,¥95.00,1230条评论,width: 90%;

宋宝华, /2015-08-15,,机械工业出版社,¥85.40,1467条评论,width: 90%;

Michael, /2014-01-01,Linux/UNIX系统编程接口权威巨著，无出其右； 涵盖500多个系统调用和库函数；示例清晰完整，解释巨细靡遗； 涵盖当前UNIX标准（POSI X.1-2001/SUS v3和POSI X.1-2008/SUS v4）； 众多业内专家人士联袂推荐； Linux/UNIX开发人员的案头必备，注定成为新的经典；,人民邮电出版社,¥151.70,1047条评论,width: 90%;

William, /2017-02-01,本书的目的是使读者熟悉现代操作系统的设计原理和实现问题，因此单纯讲述概念和理论远远不够。为说明这些概念，同时将它们与真实世界中不得不做出的设计选择相关联，本书选择了4个操作系统作为实例： ◆ Windows 8：用于个人计算机、工作站和服务器的多任务操作系统。它融入了很多操作系统发展的*技术。此外，Windows是*早采用面向对象原理进行设计的重要商业操作系统之一。本书涵盖了Windows*版本所采用的技术，包括Windows 8。 ◆ Android：Android是为嵌入式设备特别是手机量身定做的，主要是为了满足嵌入式环境的独特需求。本书介绍了Android的内核信息。 ◆ UNIX：*初是为小型计算机设计的多用户操作系统，但后来广泛用于从微机到超级计算机的各种机器中。本书采用若干版本的UNIX作为实例。FreeBSD融合了很多的现代特征，是一个广泛应用的操作系统；Solaris是,电子工业出版社,¥66.50,507条评论,width: 100%;

刘忆智, /2014-02-01,备受推崇的Linux精品畅销书全面升级，ChinaUnix技术社区鼎力推荐 第1版荣获51CTO读书频道 读者喜爱的原创IT技术图书奖 好评如潮，累计18次印刷，畅销60000余册，自出版以来销量长期稳居Linux图书前列 视频讲解：录制了26.4小时同步配套教学视频，并赠送15.75小时Linux教学视频，提供Ubuntu安装文件，送教学PPT 内容新颖：以当前*流行的Linux桌面版写作，涉及的其他软件也采用**的稳定版本 内容全面：涵盖基础、系统管理、应用、开发、服务器配置及系统安全等内容 适用面广：不但适合UbuntuLinux爱好者，也适合使用其他主流Linux版本的爱好者 梯度合理：按照入门，进阶，精通的模式编写，适合不同层次的读者学习 轻松活泼：语言通俗易懂，讲解风趣幽默，风格清新活泼，读来轻松自如，酣畅淋漓 实例丰富：每个知识点都列举实例进行,清华大学出版社,¥51.40,5364条评论,width: 90%;

拉芙, /2011-06-01,导语_点评_推荐词,机械工业出版社,¥47.60,4809条评论,width: 90%;

关东升, /2017-05-01,畅销书全新升级，累计印数6万多册 Swift和Objective-C双语讲解 新增手势识别、Quartz 2D绘图技术、动画技术、用户扩展、用户通知、Core Data等 数百个项目案例 一个真实项目开发全过程 涵盖测试驱动开发、性能优化、版本控制和程序调试等,人民邮电出版社,¥82.10,574条评论,width: 100%;

杨传辉, /2013-09-01,*高级技术专家（OceanBase核心开发人员）撰写，阳振坤、章文嵩、杨卫华、汪源、余锋（褚霸）、赖春波等来自阿里、新浪、网易和百度的资深技术专家联袂推荐。 系统讲解构建大规模存储系统的核心技术和原理，详细分析Google、Amazon、Microsoft和*的大规模分布式存储系统的原理。 实战性强，通过对*的分布式数据库OceanBase的实现细节进行深入分析，完整讲解了大规模分布式存储系统的架构方法与应用实践。,机械工业出版社,¥56.60,3865条评论,width: 90%;

刘艳涛, /2015-01-01,资深Linux系统管理与运维人员的经验总结，ChinaUnix技术社区鼎力推荐 结合近700个应用示例，全面、系统地介绍了Shell（Bash）脚本编程的精华 视频讲解：专门录制了11小时高清配套教学视频，并赠送15小时Shell编程入门视频 内容全面：详解近50个Linux常用命令，并系统地介绍了Shell脚本编程的精华 循序渐进：从*基本的Linux常用命令开始讲解，逐步深入到Linux Shell脚本编程 讲解详细：配合实例对Shell脚本编程的概念、语法、命令、技巧和难点做了详细讲解 实例丰富：列举了近700个应用示例，便于读者掌握各个知识点在实际环境中的应用 经验传授：给出了大量的经验和技巧，尽力消除读者学习时会遇到的各种障碍 Linux精品图书推荐（请点丛书链接查看） 《 Linux典藏大系（套装全2册）：Li,清华大学出版社,¥51.40,1131条评论,width: 90%;

吴光科, /2018-04-04,本书是Linux界泰山北斗吴光科力作，业内风靡的重磅作品，10余位专家联袂推荐! 赠送Linux视频教程、开发工具、学习笔记、源码、面试题、项目案例及教学课件的立体化学习解决方案！全书包含如下案例主题： l Linux系统管理实战案例 l Linux高级编程实战案例 l Linux负载均衡实战案例 l Linux自动化运维实战案例 l Linux虚拟化集群实战案例 l Linux平台云计算实战案例,清华大学出版社,¥85.10,110条评论,width: 90%;

韦东山, /2010-09-01,本书全部实例代码及相关工具。 基于ARM 9+Linux 206平台，从基础讲起，引导读者快速入门，实例丰富，可直接应用于工程实践。,人民邮电出版社,¥66.20,4012条评论,width: 80%;

高俊峰, /2016-02-01,经典Linux畅销图书全新升级 全面涵盖Linux系统管理的相关知识 技术专家多年经验的精华总结 集合大量经典、易懂的实例与技巧 侧重实用性，迅速提高读者的实战能力 塑造由浅入深、由点及面、循序渐进的学习路径 本书的特点是注重实践、理论与实际相结合，在讲述完一个知识点后，一般都附有很多的例子，作为对理论知识的实践补充，并且每个章节都涉及独立的知识，读者可以只选择阅读感兴趣的章节，也可以从头开始阅读。全书给出了一个由浅入深、由点及面、循序渐进地学习Linux的过程。 本书主要分为五篇，共20章，基本结构如下。 首篇 基础知识篇（第1章～第5章） 首篇主要讲述Linux的学习方法、Linux的安装、系统基本结构、系统运作原理、常用命令的使用方法以及软件包的安装与使用，每个章节都理论与实践相结合，每个知识点的讲解都尽力做到,人民邮电出版社,¥95.00,1617条评论,width: 90%;

ChristianBenvenuti, /2009-09-01,,中国电力出版社,¥100.10,1661条评论,width: 90%;

陈硕, /2013-01-01,示范在多核时代采用现代C++ 编写 多线程TCP 网络服务器的正规做法 关联购买： 《 ZeroMQ ：云时代极速消息通信库》 （大规模 | 可扩展 | 低成本 | 高效率解决之道，大规模分布式 | 多线程应用程序 | 消息传递架构构建利器） 《从Paxos到Zookeeper：分布式一致性原理与实践》 分布式一致性及ZooKeeper实战著作 来自国内飞非常大型、复杂且悠久系统 《寻路大数据：海量数据与大规模分析》 （Google大数据专家力作 超豪华译者|作序者 微博|高德|UCloud三大老总联合作序推荐 真正梳理趋势与生态|方案与工具选型|应用场景与价值挖掘的独家内参） 《 ElasticSearch ：可扩展的开源弹性搜索解决方案》 国内** ES 技术书全面剖析这一快速、灵活、可扩展的搜索解决方案 《 Spark 大数据处理技术》 （ Shark|S,电子工业出版社,¥85.40,1715条评论,width: 90%;

, /2018-03-01,,电子工业出版社,¥122.90,76条评论,width: 100%;

赵炯, /2008-10-01,本书对早期Linux内核（v0.12）全部代码文件进行了详细、全面的注释和说明，旨在帮助读者用较短的时间对Linux的工作原理获得全面而深刻的理解，为进一步学习和研究Linux打下坚实的基础。虽然选择的版本较低，但该内核已能够正常编译运行，并且其中已包括了Linux工作原理的精髓。书中还给出了围绕Linux0.12的多个实验。 微型计算机组成结构、内核编程语言和环境、80×86保护模式及其编程、Linux内核体系结构、引导启动程序、初始化程序、内核代码、块设备驱动程序、字符设备驱动程序、数学协处理器、文件系统、内存管理、头文件、库文件、建造工具、实验环境设置与使用方法。,机械工业出版社,¥85.10,1001条评论,width: 90%;

瑞安, /2017-12-01,本书首先讲解了UNIX Linux中分析目标文件的实用工具和ELF二进制格式的相关内容，随后介绍了进程追踪、各种不同类型的Linux和UNIX病毒，以及如何使用ELF病毒技术进行处理。 本书的后半部分介绍了如何使用Kprobe工具进行内核破解、代码修补和调试，如何检测并处理内核模式的rootkit，以及如何分析静态代码；对复杂的用户级内存感染分析进行了相关讲解。 本书将带领读者探索甚至连一些专家都未曾接触的领域，正式进入计算机黑客世界。 本书读者对象 如果你是一名软件工程师或者逆向工程师，想要学习Linux二进制分析相关的内容，本书实为明智之选。本书提供了在安全、取证和杀毒领域中实施二进制分析的解决方案。本书也适合安全爱好者和系统工程师阅读。为了更好地理解本书内容，读者需要具备一定的C语言编程基础和Linux命令行知识。 本书内容 ELF二进制格式的,人民邮电出版社,¥56.60,408条评论,width: 90%;

宋敬彬, /2014-02-01,资深程序员15年经验总结，ChinaUnix社区鼎力推荐， 450余个示例、70余个应用实例、3个项目案例 深入探讨Linux应用层和内核层的网络编程，详细讲解HTTP服务器、协议栈和防火墙三个典型案例的实际开发过程 内容全面：全书涵盖Linux网络编程从基础到高级开发的方方面面知识点 内容深入：重点讲解了技术性较强的Linux用户空间网络编程及内核网络编程 注重原理：对每个知识点都从原始概念和基本原理进行了详细和透彻的分析 插图丰富：对比较复杂和难度较高的内容绘制了220余幅原理图进行讲解 代码经典：书中的示例代码大多是从实际项目总结而来，有很强的实用性 案例典型：详细介绍了HTTP网络服务器、协议栈和防火墙的实现过程 Linux精品图书推荐（请点丛书链接查看） 《Linux环境C程序设计（第2版）》 《Linux C程序设计王,清华大学出版社,¥76.50,818条评论,width: 90%;

斯托林斯, /2010-09-01,,机械工业出版社,¥55.80,3036条评论,width: 90%;

丁明一, /2016-08-01,《Linux运维之道》从运维工作的实际需求出发，全面讲解相关的技术、经典案例，以及常见问题的解决方案。 ★作者丁明一具有丰富的实践及教学经验，且非常认真，《Linux运维之道》是其呕心沥血之作，不仅内容精益求精，代码的编排作者也花了一些心思，可见其缜密。 ★《Linux运维之道》得到了多位业内专家的强烈推荐，包括红帽大中华区考官黄军宝、原红帽中国高级认证考官许成林，以及百度、新浪、达内、武汉誉天的运维工程师和培训讲师。 ★运维是一项需要多种技能的工作，Linux运维之道作者丁明一告诉您如何成为一名合格的运维工程师，能够直接提高运维人员的工作效率，值得阅读。 ★本书在*版的基础上进行了全面细致的修订，所有内容全面升级至CentOS7.2系统。,电子工业出版社,¥75.80,953条评论,width: 90%;

佩措尔德, /2015-06-01,,清华大学出版社,¥110.10,419条评论,width: 90%;

戴有炜, /2018-07-04,凭借作者多年的实践经验，详细列举实际操作时的心得和技巧，引导您部署稳定、全年无休的基本操作环境。导入Hyper-V的虚拟环境，包含虚拟网络、虚拟机器等，因此只要一台实体电脑就可以建立完整的网络学习环境。介绍Microsoft Azure云端环境与如何在Azure建立虚拟机。深入探讨高可用性的关键议题，包括磁盘容错系统(RAID)、存储空间(Storage Spaces)、DFS分散式文件系统、iSCSI文件服务器故障转移群集。从网络管理及网络安全的观念与基本操作切入，进而说明如何强化安全措施，包括Windows防火墙、安全性原则、自动更新、WSUS更新程序部署等。通过EFS加密文件系统、BitLocker驱动器加密与BitLocker to Go来强化机密性。介绍漫游与强制用户配置文件、群组原则、磁盘配额等，让系统管理员充分管理用户的工作环境。身为IT人员，必须掌握的知识与技能包括账户与权限管理、Active,清华大学出版社,¥101.50,1条评论,width: 100%;

赵炯, /2004-09-01,,机械工业出版社,¥36.10,1129条评论,width: 90%;

维杰·库马尔·维卢, /2018-04-20,,机械工业出版社,¥75.80,98条评论,width: 100%;

张振华, /2018-05-09,（1）本书针对Java开发者、Spring的使用者，是Spring Data JPA开发必备书籍。（2）本书从介绍到使用再到原理和实践，可以作为一本很好的Spring Data JPA的实战手册。（3）本书的代码清晰，迭代完整，便于全面、完整地掌握和学习JPA。（4）本书注重从实战经验方面进行讲解，非常实用，一点即破。（5）本书原型PPT深受同事喜爱，并在企业内部培训的时候得到了很多Java程序员的肯定。,清华大学出版社,¥50.20,50条评论,width: 100%;

高俊峰, /2014-09-01,（1）畅销书《高性能Linux服务器构建实战：运维监控、性能调优与集群应用》姊妹篇，资深运维专家和架构师多年经验结晶 （2）以实际生产环境为背景，从系统安全、故障排查、自动化运维、集群架构4个维度讲解构建大规模和高性能Linux服务器集群所需技术、工具、方法和技巧,机械工业出版社,¥75.80,1512条评论,width: 90%;

张春晓, /2018-04-10,《Ubuntu Linux系统管理实战》全面介绍了Linux的基础知识、Ubuntu 17的安装方法、桌面环境、文件系统、文件管理、用户管理、服务管理、文件系统管理以及网络管理等技术。在介绍每部分内容时，都给出了大量具体的实例，使得读者能够深入了解、快速掌握相关系统操作。掌握本书所有内容，读者能够初步胜任Linux的日常管理和维护工作。,清华大学出版社,¥92.90,52条评论,width: 100%;

李志鹏, /2017-08-01,全新升级，涵盖更多全新特性的深入讲解 熟悉的Windows，更出色的性能 多平台的全面布局与崭新体验 深入解析W i n d o w s 1 0 的方方面面?,人民邮电出版社,¥75.80,363条评论,width: 100%;

Jones, /2017-12-01,PowerShell既是一门脚本语言，也是一种管理Shell，通过PowerShell几乎可以管理Windows的方方面面。它可以交互式接受和执行命令，也可以通过编写脚本管理诸如Exchange、IIS和SharePoint等Windows服务器，还可以管理诸如Azure与Office 365等在线服务。 《Windows PowerShell实战指南（第3版）》是为繁忙的IT专业人士所设计的具有创新性的教程。只需要每天一个小时 持续一个月，就能够快速将Windows任务自动化到一个新的高度。第3版图书适合Windows 7、Windows 2008 R2以及更新版本的操作系统环境，主要讲解了PowerShell v3以及更新版本的PowerShell功能，甚至包含诸如PowerShellGet等v5版本的功能。 内容特色 从头开始学习PowerShell，无需任何经验！ 涵盖运行于Windows7、Windows Server 2008 R2以及更新版本操作系统的PowerShell v3以及更新版本PowerShell的功能。 每章只需花费一个小时或更少。 如果读者曾经有Windows,人民邮电出版社,¥66.20,211条评论,width: 100%;

罗力格, /2015-03-01,本书可以让读者迅速上手Git，用它来跟踪、分支、合并和管理代码变更。本书通过一系列步骤式教程，引导读者迅速掌握从Git基础知识到高级使用技巧在内的所有知识，并提供友好而严谨的建议，以帮助读者熟悉Git的许多功能。 本书在上一版的基础之上进行了全面更新，包含了操作树的技巧，全面覆盖了reflog和stash的用法，还全面介绍了GitHub仓库。一旦你掌握了Git系统的灵活性之后，你可以以近乎无限的各种方式来管理代码开发，而本书则会告诉你怎么来做。 本书内容如下： 学习如何在多个真实的开发场景中使用Git； 深入理解Git的常见用例、*初的任务以及基本功能； 针对集中式和分布式版本控制而使用Git系统； 学习如何管理合并、冲突、补丁和差异； 应用高级技术，比如变基、钩子和处理子模块的方法； 与SVN仓库,,¥75.80,1422条评论,width: 90%;

朱有鹏, /2016-11-01,针对性强：面向嵌入式Linux内核源码、底层驱动软件开发等技术方向。 精华原创：凝结作者多年研发及教学经验，帮助读者真正深度理解难点。 求职必读：详解常见面试题，完全应对 嵌入式软件工程师 岗位需求。,人民邮电出版社,¥56.60,276条评论,width: 90%;

Allen, /2015-02-01,Kali Linux是一个全面的渗透测试平台，其自带的高级工具可以用来识别、检测和利用目标网络中未被发现的漏洞。借助于Kali Linux，你可以根据已定义的业务目标和预定的测试计划，应用合适的测试方法论，从而达到预期的渗透测试结果。 本书采用循序渐进的方法讲解了前沿的黑客工具和技术，有助于提高读者的渗透测试实用技巧。本书提供了所有必需的实验准备和测试流程，旨在从业务的角度反映真实世界中的攻击场景。 本书内容： 通过安装、配置、运行和升级核心系统组件来设置Kali Linux的测试环境； 执行正规的Kali Linux测试方法论； 根据明确的测试要求、限制、业务目标和预定的测试计划，来界定目标； 练习使用Kali Linux中的大量安全工具； 练习包括取证、发现、枚举、漏洞映射、社会工程学、漏洞利用、提权和维护对,,¥66.20,524条评论,width: 90%;

Linus, /2014-08-01,当我们使用Google搜索时，使用Kindle阅读时，使用*购物时，使用QQ聊天时，很多人并不知道，支撑这些软件和服务的，是后台成千上万台 Linux 服务器。可以这么说，世界上大部分软件和服务都运行在 Linux 操作系统之上，让数十亿人受益，而它的缔造者却低调得只有程序员才知道。 2001年Linus与人合著了他的自传，也是**一本关于他的传记。这部自传风趣幽默，充满极客风格，向读者展示了林纳斯如何用自己精彩的编程人生和对自由软件的热爱演绎现代社会中一个书呆子的胜利。 13年后我们重新翻译出版这位*有影响力发明家一的传奇经历，期待与更多人一起探寻如何以“一切为了好玩”的态度对待技术、软件和人生……,人民邮电出版社,¥38.50,775条评论,width: 90%;

王亚飞, /2016-02-01,,清华大学出版社,¥67.90,515条评论,width: 100%;

水木居士, /2017-09-01,简洁、完整、易懂，一本像苹果电脑一样风格的教程。 图文对照的方式和轻松的风格，全面系统地介绍全新功能。 160个贴心提示，分享经验，更轻松的学习。 172个OS X系统中常用的小技巧，更高效地工作。 帮助读者快速掌握OS X系统的使用方法，带领读者发现苹果电脑的与众不同之处。,人民邮电出版社,¥113.30,331条评论,width: 100%;

