author,date,introduce,location,price,review,star

施瓦茨, /2013-05-01,只要你不敢以MySQL专家自诩，又岂敢错过这本神书？ 一言以蔽之，写得好，编排得好，需要参考时容易到爆！ 我可是从头到尾看了一遍上一版，可还是毫不犹豫拿起了这本《高性能MySQL（第3版）》，而且看完后一点都不后悔 ◎ 学习MySQL新特性，包括存储引擎、分区数据库、触发器和视图 ◎ 实现复制的改进、高可用和集群◎ 获得在云端运行MySQL的高性能 ◎ 优化高级查询特性，如全文索引 ◎ 从现代的多核CPU和固态硬盘中获益 ◎ 探索备份和恢复的策略，包括*的在线备份工具,电子工业出版社,¥122.90,9825条评论,width: 90%;

White, /2017-07-01,"本书结合理论和实践，由浅入深，全方位介绍了Hadoop 这一高性能的海量数据处理和分析平台。全书5部分24 章，第Ⅰ部分介绍Hadoop 基础知识，第Ⅱ部分介绍MapReduce,第Ⅲ部分介绍Hadoop 的运维，第Ⅳ部分介绍Hadoop 相关开源项目，第Ⅴ部分提供了三个案例，分别来自医疗卫生信息技术服务商塞纳(Cerner)、微软的人工智能项目ADAM(一种大规模分布式深度学习框架)和开源项目Cascading(一个新的针对MapReduce 的数据处理API)。本书是一本专业、全面的Hadoop 参考书和工具书，阐述了Hadoop 生态圈的新发展和应用，程序员可以从中探索海量数据集的存储和分析，管理员可以从中了解Hadoop 集群的安装和运维。",清华大学出版社,¥102.10,4145条评论,width: 90%;

唐汉明, /2014-01-01,大家知道ANSI/ISO SQL是公认的关系数据库标准。从SQL标准的符合性来说，MySQL不仅无法跟成熟的商业数据库相比，在开源数据库中也远不是*好的，比如PostgreSQL就是业界公认的ANSI/ISO SQL标准符合性*好的开源数据库，MySQL直到5.0版本才支持的一些特性，PostgreSQL早都实现了。既然如此，为什么MySQL却在开源数据库中独占鳌头呢？根本的原因就是性能！ 从开发、管理和管理维护3个角度逐步深入，全面介绍MySQL数据库技术，融合了资深专家多年工作实践的积累和经验，不但总结了应用MySQL数据库时遇到的各种问题及其解决办法，还强调了开发人员和数据库管理人员必备的知识、技能。 MySQL的海豚标志的名字叫 sakila ，代表速度、力量、精确，它是从用户在 海豚命名 的竞赛中建议的众多名字中选出来的。获胜的名字是由来自非洲斯威士兰的开源软件开发者Ambrose Twebaze提,人民邮电出版社,¥95.00,5354条评论,width: 90%;

姜承尧, /2013-05-01,点击查看：,机械工业出版社,¥75.80,1808条评论,width: 90%;

Jiawei, /2012-08-01,点击查看： 精彩推荐： Java核心技术 卷II 高级特性 （第9版 中文版） 数据挖掘领域**里程碑意义的经典著作 完整全面阐述该领域的重要知识和技术创新,机械工业出版社,¥75.80,13026条评论,width: 90%;

阿里巴巴数据技术及产品部, /2017-07-01,*，作为距离大数据*近的公司之一，近几年对大数据却鲜有高谈阔论。实际上，*一开始就自然生长在数据的黑洞中，并且被越来越多、越来越密集的数据风暴裹挟。从需求 设计 迭代 升华为理论，在无数次的迭代进化中，*对大数据的理解才逐渐成形，慢慢能够在将数据黑洞为我所用的抗争中扳回一局。《大数据之路：*大数据实践》就是在这个过程中，由*数据技术及产品部沉淀下来的大数据知识与实践，值得每一位与大数据相关的人阅读。,电子工业出版社,¥75.80,3530条评论,width: 90%;

福达, /2013-05-01,SQL经典畅销书，麻省理工学院、伊利诺伊大学等众多大学的参考教材！ 由浅入深地讲解SQL的基本概念和语法，内容丰富，简洁实用，数据的排序、过滤和分组、表、视图、联结、子查询、游标、存储过程和触发器等核心知识点一应俱全。 内涵丰富精彩实例，实例已根据新版本更新，同时便于查阅！,人民邮电出版社,¥20.00,8920条评论,width: 90%;

福塔, /2009-01-01,此书使我获益匪浅，书的内容和版式都堪称完美，期待作者的下一部著作！ Raymond Camden，BroadChoice公司软件开发副总裁 MySQL作为开源软件的代表，已经成为世界上*受欢迎的数据库管理系统之一。 本书是经典畅销书《SQL必知必会》之后，作者应众多读者的请求编写的，专门针对MySQL用户。书中继承了《MySQL必知必会》的优点，没有过多阐述数据库基础理论，而是紧贴实战需要，直接从数据检索开始，逐步深入各种复杂的内容，包括联结的使用、子查询、正则表达式和基于全文本的搜索、存储过程、游标、触发器、表约束，等等。通过本书，读者能够掌握扎实的基本功，迅速成为MySQL高手。,人民邮电出版社,¥26.90,5503条评论,width: 90%;
