author,date,introduce,location,price,review,star

库罗斯, /2014-10-01,库罗斯、罗斯编著的《计算机网络：自顶向下方法（原书第6版）》是当前世界上*为流行的计算机网络教科书之一，采用作者独创的自顶向下方法讲授计算机网络的原理及其协议，即从应用层协议开始沿协议栈向下讲解，让读者从实现、应用的角度明白各层的意义，强调应用层范例和应用编程接口，使读者尽快进入每天使用的应用程序环境之中进行学习和 创造 。 本书第1 6章适合作为高等院校计算机、电子工程等相关专业本科生 计算机网络 课程的教材，第7 9章可用于硕士研究生 高级计算机网络 课程教学。对网络从业者、有一定网络基础的人员甚至专业网络研究人员，本书也是一本优秀的参考书。,机械工业出版社,¥75.80,5438条评论,width: 90%;

张开涛, /2017-04-01,提前看到这部著作的人这样评价 经历618、双11多次大考，是保证大规模电商系统高流量、高频次的葵花宝典。 集中火力讲述作者构建大流量系统用到的高可用和高并发原则。 浓缩作者多年对网站系统升级迭代的创新、技术、实践和积累。 高可用和高并发总体原则、关键技术、实战经验的总结，以及曾经踩过的坑。 教你如何构建高并发、大流量系统方能经受起亿级线上用户流量的真实考验。 从前端到DB底层设计，本书无不精细阐述。 站在一个新高度思考网站后台技术，从应用级缓存到前端缓存，从SOA到闭环。 *多年架构升级及大促备战的高质量总结。 将系统设计的深奥套路讲得如此清晰，难能可贵。 完整呈现如何设计响应亿级请求的*商品详情页系统。 本书作者是将技术应用于业务、理论应用于实践的大师。 地表至强，天大福利。 流量并发,电子工业出版社,¥95.00,4258条评论,width: 90%;

张鑫旭, /2017-12-01,- 茫茫星海中鲸鱼永不犯错的航行， - 那是因为有星辰的指引； - 芸芸CSS世界中想要不断突破瓶颈， - 需要有本书的指引。 CSS入门简单深入难，无数人遇到 天花板 ，本书是打破能力上升瓶颈之作。 前端开发行业潜心近10年一直研究看似简单的CSS的人可谓是凤毛麟角，作者从2009年开始写原创技术文章，现在其博客已经成为国内访问量巨大的个人前端博客之一，可以说众多前端初学者是看着作者的博客成长的。 本书几乎所有内容都是经过作者自我思考和认知提炼后的产物，都是其他地方难得一见的 干货 。本书不会像传统书籍一样，一个知识点就是一节，因为CSS的各个属性的表现和行为相互间是参杂在一起的，很难一个一个分开，为了把错综复杂的CSS知识点讲好，本书以独特的 世界观 的视角去看待CSS。 为了拓展和更直观演示各个特性的效果，书中每个案例都有对,人民邮电出版社,¥66.20,2344条评论,width: 90%;

凯文, /2016-06-23,Stevens经典网络名著的整体重组和彻底更新；掌握当代网络协议原理及实现技术必备参考书；全面阐述和透彻分析网络常用协议的工作过程和实现细节。 涵盖新的网络协议和实践方法，显著加强安全方面内容,机械工业出版社,¥104.20,2354条评论,width: 90%;

Richard, /2015-08-01,这是一部传世之作！**网络编程专家Bill Fenner和Andrew M. Rudoff应邀执笔，对W. Richard Stevens的经典作品进行修订。书中吸纳了近几年网络技术的发展，增添了IPv6、SCTP协议和密钥管理套接字等内容，深入讨论了**的关键标准、实现和技术。 书中的所有示例都是在UNIX系统上测试通过的真实的、可运行的代码，继承了Stevens一直强调的理念： 学习网络编程的*好方法就是下载这些程序，对其进行修改和改进。只有这样实际编写代码才能深入理解有关概念和方法。 读者可以从本书网站下载这些示例的源代码。 本书为UNIX网络编程提供全面的指导，是网络研究和开发人员公认的权威参考书，无论网络编程的初学者还是网络专家都会大受裨益。,人民邮电出版社,¥123.80,2365条评论,width: 90%;

陈爱军, /2018-02-01,通信人家园论坛总点击量800万的神帖，七年磨一剑，被网友称为通信界的《明朝那些事儿》。比《大话通信》《大话无线通信》《大话移动通信》更基础全面的计算机IT学科普及书。 作者的话 深入浅出通信原理 系列连载于2010 年4 月8 日在通信人家园论坛上线，受到广大网友的热烈欢迎。很多网友回帖表示肯定和支持，也给了不少改进建议。例如，有网友反馈：连载讲了很多通信原理的知识点，每个知识点以图文并茂的方式讲得很清楚，但这些知识点在通信系统的哪个地方会用到缺少必要的说明，希望能够出书，对通信原理知识进行更系统、更全面的介绍。为了将连载的内容集结成书，我利用周末和节假日的时间，以通信系统模型为主线，对连载内容进行了系统梳理和查缺补漏，补充了信源编码、信道编码、天线技术、复用和多址技术等方面的很多内容。经过多年,清华大学出版社,¥76.50,1226条评论,width: 100%;

詹姆斯·F.库罗斯, /2018-06-01,,机械工业出版社,¥61.40,14条评论,width: 90%;

王坚, /2013-05-01,,人民邮电出版社,¥47.60,6237条评论,width: 90%;

David, /2012-09-01,HTTP及相关核心Web技术方面的权威著作 权威专家详解HTTP协议、深入说明Web工作原理 语言简洁精确，细节图解翔实 高效Web开发、Web程序员必备权威指南 HTTP是Web的基础，这里所说的Web，不仅只是通常意义上的Browser/Server端的开发，而是Web Service。 HTTP初看上去似乎是非常简单的协议，是的，HTTP 0.9确实是非常简单的，简单到只有一个GET方法，更不用说什么持久连接了。HTTP协议还有一个显著特点，那就是其协议是明文的基于文本的。这使得通过工具与HTTP进行交互变得非常简单，*原始的telnet也可以发送HTTP请求(参考本书15页)。 而大多数人对HTTP的了解也就是这种程度了(没有读此书之前的我也是这样)。此书的意义在于，它让你知道，HTTP不仅只有一个简单的GET，HTTP可以做为一种通用的分布式编程的协议。现如今Web上大,人民邮电出版社,¥75.20,5748条评论,width: 90%;

特南鲍姆, /2012-03-01,国内外使用最广泛、最权威的计算机网络经典教材。 教辅材料：PPT，习题答案 第5版相比以前的版本改变甚多，其中最重要的一点是David J. Wetherall教授成为了本书的合作者。David教授具有丰富的网络背景，他在城域网的设计领域磨砺了20多年，研究范围涉及因特网和无线网络。他是美国华盛顿大学的终身教授，一直讲授和研究计算机网络以及过去十年间相关主题的内容。 当然，书中还有许多内容是随着计算机网络世界的不断变化而更新的。其中，修订和新增内容有： * 无线网络（802.12和802.16）。 * 智能手机使用的3G网络。 * RFID和传感器网络。 * 使用CDN的内容分发。 * 对等网络。 * 实时媒体（存储的、流式的以及实况的）。 * 因特网电话（IP语音）。 * 延迟容忍网络。,清华大学出版社,¥61.70,7136条评论,width: 90%;

户根勤, /2017-01-01,日文版重印32次！ 计算机网络概论 图解趣味版 蹲马桶就能看懂的网络基础知识 本书适合 菜鸟程序员入门进阶 中级程序员查漏补缺 高手程序员向家人（女友、老妈等）普及计算机知识 如果你好奇从在浏览器中输入网址到显示出网页内容，网络中到底发生了什么 如果你想知道网络设备和软件在网络内部是如何工作的 如果你已经掌握了一些零散的网络知识，但是想要形成完整的知识脉络 如果你想在工作和生活中更好地应用网络 那么就该读一读这本书，全面系统地掌握网络基础知识！,人民邮电出版社,¥33.80,2935条评论,width: 90%;

