author,date,introduce,location,price,review,star

翟永超, /2017-04-01,Spring Cloud是集微服务框架之大成的 全家桶 深入剖析核心组件，透过实例|源码剖析运行原理 简明上手，指导以极低开发成本实现搭建微服务架构 作者亲历大量生产实践，为该技术社区繁荣主要推动者,电子工业出版社,¥85.40,3695条评论,width: 90%;

梁灏, /2017-10-01,"Vue.js作者尤雨溪作推荐序，业界前端大腕(TalkingData 研发副总裁,马骥;w3cplus.com站长,大漠;在线回声前端技术专家,justjavac（迷渡）;laravel-china.org站长,Summer)联袂推荐！ Vue社区iView组件贡献者，前端大神梁灏执笔编撰，突出实战，应用为王。",清华大学出版社,¥67.90,1601条评论,width: 90%;

周立, /2018-07-01,适读人群 ：关注微服务架构有及Spring Cloud及分布式系统的从业者。 Spring Cloud 快速崛起后已成为微服务领域无可争议的标准 来自Spring Cloud社区发起人|布道者|微服务专家的真知灼见 这一Java企业级微服务极限武器已在所有互联网公司实现部署 高速发展中的Spring Cloud须要你快速跟上新版本了解新实践,电子工业出版社,¥75.80,1647条评论,width: 100%;

武松, /2014-04-01,一本全面介绍IBM SPSS统计分析软件的宝典秘笈，累计6次印刷，畅销13500册 涵盖SPSS数据管理、基础统计分析和高级统计分析等应用 精讲112个实战案例，带领读者成长为数据分析的高手 提供16.4小时配套教学视频 赠送17.3小时SAS统计分析教学视频 推荐阅读（请点丛书链接查看） 《 SPSS 统 计分析实用宝典》 （ 视频教学 实例 案例 ） 《 SAS 统 计分析实用宝典》 （ 视频教学 实例 案例 ） 《绝了！ Excel 可以这样用 数据处理、计算与分析》 （畅销23000册 ，职场效率提升 100% ） 《绝了 ！ Excel 可以这样用 商务图表经典案例实战精粹》 （精美图表，全彩印刷） 《绝了！ Excel 可以这样用 公司管理经典案例实战精粹》 （ 情景案,清华大学出版社,¥60.00,6914条评论,width: 90%;

狄松, /2016-05-01,小蚊子团队力作 统计描述、统计推断到探索性分析层层进阶 案例丰富，懂点统计就能做专业的分析 SPSS数据分析也像一本故事书,电子工业出版社,¥56.60,2755条评论,width: 90%;

江丙云, /2018-07-01,---ABAQUS原厂监制 ---图书 源文件 视频 公众号 QQ群=可沟通交流的生态系统 ---为具有一定Abaqus基础的汽车、机械、电子、航空及土木等领域的工程师和科研人员提供CAE学习方法 23位作者阐述分析之美 40讲详解工程实例SOP 50 位行业大师倾情推荐 1000 位读者多行业实时互动,人民邮电出版社,¥103.70,11条评论,width: 100%;

张应龙, /2016-01-01,1.内容依据初学者的学习特点编写 2.以应用广泛的西门子和欧姆龙两种品牌为例 3.列举了大量的工程应用实例,化学工业出版社,¥42.10,970条评论,width: 100%;

疯狂软件, /2018-06-06,1.基于正式发布的Spring Boot 2，支持Spring 5。 2.提供配套代码下载及微信、QQ群答疑服务。 3.《疯狂Java讲义》《轻量级Java EE企业应用实战》作者李刚指导创作。 4.贴近实际项目，以案例驱动 本书全面介绍了全新的Spring Boot 2和常用第三方框架整合开发相关的各方面知识。 5.内容深入，讲解细致 书中操作步骤细致，编程思路清晰，语言平实易懂。读者参考本书的架构，可以身临其境地感受企业实际项目开发。,电子工业出版社,¥55.70,77条评论,width: 100%;

阿部和广, /2014-10-01,★美国麻省理工大学（MIT）媒体实验室教授米切尔 瑞斯尼克 作序推荐 ★PC之父、图灵奖得主艾伦 凯 特别撰文 ★在快乐编程中掌握3项关键能力：创造力、逻辑思考能力和协作能力 ★结合语文、数学、科学、社会、音乐、体育等科目，学习、娱乐两不耽误！ Scratch 是麻省理工学院设计开发的一款编程工具，是适合少儿学习编程和交流的工具和平台，有中文版且完全免费。本书结合孩子们学习的语文、数学、科学、社会、音乐、体育等科目，手把手地教大家如何用Scratch 设计程序（如设计一个自动写作文的程序），配合各式卡通形象，通俗易懂，寓教于乐。麻省理工学院教授米切尔 瑞斯尼克作序推荐。 本书图文并茂，生动风趣，适合中小学生等初学者自学或在家长的帮助下学习。,人民邮电出版社,¥40.70,5071条评论,width: 100%;

姚文祥, /2015-11-01,在介绍Cortex-M3/M4的书籍中，本书无疑是广受欢迎的一本。一方面，作者本身就是ARM公司的专家，深刻理解Cortex-M3/M4架构的设计；另一方面，作者选取的角度非常合适，既有架构设计的细节，也有程序代码实现示例，而且对容易出现问题的地方进行了说明。是一本不可多得，值得嵌入式开发人员珍藏的图书。本书提供全部示例工程的源代码，下载地址见书中 关于本书 。,清华大学出版社,¥76.50,918条评论,width: 100%;

