author,date,introduce,location,price,review,star

史蒂夫·诺特伯格, /2011-02-01,番茄工作法发明人弗朗西斯科 西里洛作序推荐！ 一本能改变你生活的书！ 番茄工作法是一套简单的工具和流程，用以提升你个人和所在团队的生产力，从而做到： 减轻时间焦虑 提升集中力和注意力，减少中断 增强决策意识 唤醒激励和持久激励 巩固达成目标的决心 完善预估流程，保质保量 改进工作学习流程 强化决断力，快刀斩乱麻,人民邮电出版社,¥17.40,68523条评论,width: 90%;

Robert, /2009-12-01,作者Martin是软件工程领域的大师级人物，是《敏捷软件开发：原则、模式与实践》、《敏捷软件开发：原则、模式与实践(C#版)》、《极限编程实践》等国内引进的畅销书的作者，其中多本原著荣获美国《软件开发》第13届震憾（Jolt）大奖，Martin的敏捷系列书是软件工程界的杰出书籍。 《代码整洁之道》是他的又一力作 Martin在书中对代码具有革命性的解读 阐述了整洁代码的敏捷实践的方法 书中介绍规则均来自Martin多年的经验，拥有很高的借鉴价值,人民邮电出版社,¥56.60,8301条评论,width: 90%;

Eric, /2007-09-01,"请关注Head First系列其他新书 ★荣获2005年第十五届Jolt通用类图书震撼大奖。 ★ 本书英文影印版被《程序员》等机构评选为2006年受读者喜爱的十大IT图书之一 。 ★ 案例和程序虽然用Java编写，但所介绍的内容对于任何OO语言的用户都适用，包括C 和C#。 ★信耶稣的人都要读圣经，信 OO的人都要读四人组的《设计模式》，而《设计模式》的原创者 Erich Gamma 欣然推荐《Head First 设计模式》。 ★ 如果你想开发软件却还没学过Java,Head First是不二的选择。 本书作者全都是 变态 ！ 当然，是好的那种 变态 ！ 把这么枯燥的主题写得那么生动有趣而学习效果又好，不是 变态 的作者还真做不到。",中国电力出版社,¥67.60,22607条评论,width: 90%;

比斯利, /2015-05-01,如果你在编写Python 3程序时需要帮助，或者想更新老的Python 2代码，本书正是你所需要的。本书包含了大量使用Python 3.3编写并测试过的实用编程技巧。对于那些关注现代工具和惯用技巧的有经验的Python程序员来说，本书无可替代。 本书包含了12个以上的完整主题，其范围涵盖了Python语言的核心以及多个应用领域中的常见任务。每一节中包含的示例代码都可以立刻应用到你自己的项目中去，而每节的讨论部分则告诉你解决方案是如何以及为什么能够工作。 本书主题包括： 数据结构和算法； 字符串和文本； 数字、日期和时间； 迭代器和生成器； 文件和I/O； 数据编码与处理； 函数； 类与对象； 元编程； 模块和包； 网络和Web编程； 并发； 实用脚本和系统管理； 测试、调试以及异常,人民邮电出版社,¥103.70,3397条评论,width: 90%;

Alan.cooper, /2015-09-01,同类图书推荐： 《服务设计微日记》 About Face 4的新特征： 更新了交互设计原则、模式和实践。 移动平台及各类屏幕尺寸的新内容。 更新为反映当前潮流的界面案例。 Cooper的目标导向设计方法近迭代更新。 更多计算机好书请关注： 电子工业出版社当当自营店,电子工业出版社,¥113.30,4681条评论,width: 90%;

程杰, /2007-12-01,感受设计演变过程中所蕴含的大智慧，体会乐与怒的程序人生中值得回味的一幕幕。 设计模式的趣味解读，面向对象的深入剖析。在诙谐与温馨中做一次面向对象编程思维的体操。 本书是准备攀登面向对象编程高峰朋友们的引路人和提携者；本书是学习、体会和领悟了众多大师智慧结晶后的图书作品；本书是你深入理解和感受GoF的《设计模式》及其它大师作品的必备书籍；本书授之以 鱼 ，更授之以 渔 。 推荐阅读： 《 IT售前工程师修炼之道 》,清华大学出版社,¥31.00,11522条评论,width: 90%;

秦小波, /2014-03-01,（1） 畅销书全新升级，第1版广受好评，被誉为设计模式领域**趣味、*易理解且又讲解极为透彻的一本书，程序员公认的3本经典设计模式著作之一（2） 深刻解读6大设计原则和28种设计模式的准确定义、应用方法和**实践，全方位比较各种同类模式之间的异同，详细讲解将不同的模式组合使用的方法,机械工业出版社,¥85.40,1789条评论,width: 90%;

惠特克, /2013-10-01,软件测试泰斗传道解惑 Google 软件测试精髓完美呈现 *测试技术专家翻译 测试界知名专家鼎力推荐,人民邮电出版社,¥56.60,4172条评论,width: 90%;

ROAD_TESTING软件测试组, /2016-10-01,导语_点评_推荐词,人民邮电出版社,¥85.40,1887条评论,width: 90%;

倪超, /2015-02-01,国内罕见系统讲解ZooKeeper这一应用广泛、成熟的分布式协调框架之技术书。 原理深入，阐述清晰，覆盖ACID、CAP、BASE，二阶段/三阶段提交，Paxos、ZAB协议等热门话题。 彻底剖析分布式一致性问题，并给出相应系统思路，以及完整解决方案及实战参考。 无论开发人员，还是运维人士，都可通过书中ZooKeeper使用方法、内部实现及运维技巧来全面提升。,电子工业出版社,¥72.00,2448条评论,width: 90%;

Warren, /2014-10-01,编程是一项充满乐趣的挑战，想要上手也非常容易！这本《父与子的编程之旅：与小卡特一起学Python》中，Warren和Carter父子以亲切的笔调、通俗的语言，透彻全面地介绍了计算机编程世界。他们以简单易学的Python语言为例，通过可爱的漫画、有趣的例子，生动地介绍了变量、循环、输入和输出、数据结构以及图形用户界面等编程的基本概念。只要懂得计算机的基本操作，如启动程序、保存文件，任何人都可以跟随本书，由简入难，学会编写程序，甚至制作游戏。 《父与子的编程之旅：与小卡特一起学Python》内容经过教育专家的评审，经过孩子的亲身检验，并得到了家长的认可。如果你想教孩子学习计算机编程，培养孩子思考问题和解决问题的能力，那就赶快拿起本书，展开亲子学习之旅吧！如果你想自己学习编程，也赶紧拿起本书，探索看似神秘的编程世界,人民邮电出版社,¥47.60,3354条评论,width: 100%;

爱德华·克劳利, /2016-12-20,,机械工业出版社,¥114.20,1007条评论,width: 100%;

昝辉, /2015-07-01,Zac老师是中国SEO行业*权威专家，《SEO实战密码》在过去的5年中，累计销售达十二万余册。,电子工业出版社,¥103.70,4475条评论,width: 90%;

伽玛, /2013-11-01,"“这本众人期待的确达到了预期的全部效果。该书云集了经过时间考验的可用设计。作者从多年的面向对象设计经验中精选了23个模式,这构成了该书的精华部份,每一个精益求精的优秀程序员都应拥有这本《设计模式》。” --Larry O'Brien, Software Development “ 设计模式 在实用环境下特别有用,因为它分类描述了一组设计良好,表达清楚的面向对象软件设计模式。整个设计模式领域还很新,本书的四位作者也许已占据了这个领域造诣*深的专家中的半数,因而他们定义模式的方法可以作为后来者的榜样。如果要知道怎样恰当定义和描述设计模式,我们应该可以从他们那儿获得启发” --Steve Billow, Journal of Object-Oriented Programming “总的来讲,这本书表达了一种极有价值的东西。对软件设计领域有着独特的贡献,因为它捕获了面向对象设计的有价值的经验,并且",机械工业出版社,¥24.20,6558条评论,width: 90%;

李林锋, /2015-04-01,1、Hadoop、Storm、Spark、Facebook、Twitter、Ali baba都在使用Java高性能NIO通信框架Netty，本书告诉你Why，通过本书你可以全面、系统地理解Netty 架构设计理念，以及异步NIO 编程。1、Hadoop、Storm、Spark、Facebook、Twitter、Ali baba都在使用Java高性能NIO通信框架Netty，本书告诉你Why，通过本书你可以全面、系统地理解Netty 架构设计理念，以及异步NIO 编程。 2、本书作者为资深一线专家，在产品中广泛应用了Netty等NIO框架，具有丰富的多年实践经验，这就使得本书内容带有很强的实践性，让你更全面快速掌握Java高并发异步通信的优先选择 框架 Netty的用法。 3、本书第1版出版后受到业界的一致好评，应读者的要求，第2版增加了MessagePack 编解码、服务端创建、客户端创建、高性能之道、可靠性、安全性等内容，内容更精彩。 Netty是什么？使用Netty能够做什,电子工业出版社,¥85.40,2213条评论,width: 90%;

陈能技, /2015-08-01,畅销书的超强升级版 介绍了国内外先进的测试技术和测试理念，微软公司的测试方法，RUP中的测试过程，AEP的理念、敏捷测试思想等 详细讲述了主流的、新版本的测试工具的使用技术和技巧，如性能测试工具LoadRunner，功能自动化测试工具QTP和TestComplete，测试过程管理工具QC，Visual Studio的单元测试工具，安全测试工具AppScan，测试用例设计工具PICT、CTE XL等 介绍了典型的开源测试工具的具体应用，如JMeter、White、Watir等 介绍了测试工具的开发，如使用VBScript进行Web自动化测试、利用UIAutomation实现GUI自动化测试、正交表测试用例自动生成工具等 介绍了敏捷测试的实践，如持续集成、代码审查、探索性测试等实战技术 来自测试实践中的典型案例，如C/S结构测试、B/S结构测试、手机测试、游戏测试、界面测试、数据库测试、Web Service测试、内存泄漏测试等，突出实用性,人民邮电出版社,¥66.20,1592条评论,width: 90%;

陶辉, /2016-02-19,,机械工业出版社,¥95.00,1398条评论,width: 100%;

布鲁克斯, /2015-04-01,"""图灵奖得主、“ IBM 360 系统之父”作者 Brooks 颠覆了项目管理领域，长久不衰传奇经典！ 软件开发人员、软件项目经理、系统分析师等 IT 从业者必藏之软工圣经！ 畅销全球 40 年！新版再发行 全球软工领域*畅销的项目管理经典！ 影响人力编程思想的*牛著作之一！ 推荐阅读： 《 IT售前工程师修炼之道 》 （ 资深IT售前工程师力作 ）",清华大学出版社,¥58.50,6407条评论,width: 90%;

周立, /2017-05-01,首著重磅升级，领域重量级图书率先与技术新版接轨， 读者可直接选用第2版。 Spring Cloud的崛起将取代Dubbo在微服务领域大行其道 作者标签：Spring Cloud社区发起人|布道者|微服务专家 Spring Cloud可谓实现Java企业级微服务应用之终极武器 Spring Cloud是Spring Boot之上更完整、全能的解决方案,电子工业出版社,¥66.20,1649条评论,width: 90%;

马丁, /2003-09-01,《敏捷软件开发：原则模式与实践》是综合性、实用性的敏捷开发和极限编程方面的指南，讲述了在预算和时间要求下软件开发人员和项目经理如何使用敏捷开发完成项目：使用真实案例讲解如何用极限编程来设计、测试、重构和结对编程；包含了极具价值的可重用的C 和Java源代码；还重点讲述了如何使用UML和设计模式解决面向客户系统的问题。《敏捷软件开发：原则模式与实践》于2003年荣获第13届软件开发图书震撼大奖，适于用作高校计算机专业本科生、研究生和软件学院的软件工程和软件开发相关课程的教材或参考书，也适于软件开发和管理人员提高自身水平学习之用。,清华大学出版社,¥50.70,1130条评论,width: 90%;

Julia, /2016-11-01,本书通过一系列简单小巧的应用开发项目，展示了熟练的Django开发者将REST API、WebSockets和Backbone.js这样的客户端MVC构架加入到新建或已有的项目中的方法。,中国电力出版社,¥28.30,1064条评论,width: 90%;

李林锋, /2016-01-01,1、微服务是当前非常热的技术关键词之一，那么微服务如何落地呢？首先要实现服务化，微服务架构是一种服务化架构风格。《分布式服务框架原理与实践》对如何构建分布式服务化系统，提供了原理分析、关键技术、开发案例以及业界技术对比，非常系统化，不论是学习分布式服务技术还是深入大型互联网架构都非常实用。 2、《分布式服务框架原理与实践》作者李林锋多年来在华为一直从事核心代码的架构设计和开发，属于实战型架构师，这本书集合了他多年的架构思路，书中内容组织清晰，图例详实，非常便于理解与吸收。 3、《分布式服务框架原理与实践》首先分析了作为一个分布式服务框架所需具备的能力，包括服务注册中心、服务调用、服务路由、服务发布／灰度发布等；接着分析了服务底层如何有效地进行通信，包括通信框架、序列化／反序列化及,电子工业出版社,¥62.40,2599条评论,width: 90%;

