author,date,introduce,location,price,review,star

未来教育教学与研究中心, /2014-03-01,,电子科技大学出版社,¥28.40,1258条评论,width: 90%;

未来教育教学与研究中心, /2013-03-01,,电子科技大学出版社,¥17.00,297条评论,width: 90%;

中国计算机学会, /2018-03-01,,科学出版社,¥26.20,3828条评论,width: 90%;

未来教育教学与研究中心, /2008-10-01,,电子科技大学出版社,¥28.40,253条评论,width: 100%;

薛大龙, /2017-03-01,系统集成项目管理工程师历年真题解析（第3版）》是在《系统集成项目管理工程师历年真题解析（第2版）》的基础上修订的，针对历年（2010年5月-2016年11月）的真题进行了详细的解析。本书由薛大龙博士担任主编。薛博士曾多次参与全国计算机技术与软件专业技术资格考试的命题与阅卷，非常熟悉命题要求、命题形式、命题难度、命题深度、命题重点及判卷标准等。,电子工业出版社,¥54.80,1035条评论,width: 90%;

薛大龙, /2017-03-01,信息系统项目管理师历年真题解析（第3版）是在《信息系统项目管理师历年真题解析》（第2版）的基础上修订的，本次修订增加了*近的3次（2015年11月、2016年5月、11月）真题解析，去除了较陈旧的2006、2007年的试题解析，全书针对系信息系统项目管理师考试2008 2016年所有的真题进行了解析。,电子工业出版社,¥67.20,1454条评论,width: 90%;

中国计算机学会, /2018-03-01,适读人群 ：小学、初中、高中计算机程序设计爱好者，大学ACM程序设计竞赛选手 noip竞赛必备书，经典,科学出版社,¥24.80,2352条评论,width: 90%;

黄传河, /2009-06-01,,清华大学出版社,¥76.80,1936条评论,width: 90%;

张友生, /2014-08-01,,清华大学出版社,¥71.20,1546条评论,width: 90%;

张友生, /2009-09-01,,清华大学出版社,¥24.00,4554条评论,width: 90%;

张友生, /2013-09-01,考试相关用书 网络工程师教程（第4 版） 网络工程师2009 至2012 年试题分析与解答 网络工程师2009 至2014 年试题分析与解答 网络工程师考试冲刺（习题与解答） 网络工程师考试辅导 2012 下半年试题分析与解答 2013 上半年试题分析与解答 2013 下半年试题分析与解答 2014 上半年试题分析与解答 2014 下半年试题分析与解答,清华大学出版社,¥28.00,1750条评论,width: 90%;

薛大龙, /2018-03-01,本书针对软件设计师2014 2017年共8次真题进行了试题的分析和解答，帮助考生熟悉试题形式，了解重点、掌握解答问题的方法和技巧等。本书配套有丰富的在线学习资源，用微信扫描书中的二维码，进入 软考 冲刺互动学习平台，可以进行在线题库答题自测，在线音频、视频、直播课程学习等。 本书适合备考 软件设计师 考试的学员学习，也可供备考 系统分析师 系统架构设计师 软件评测师 程序员 的学员参考使用。,电子工业出版社,¥57.60,94条评论,width: 80%;

Todd, /2012-03-01,首屈一指的CCNA应试宝典 时隔四年全新升级，深入剖析CCNA 640-802考试**动态 名著新译，准确阐释，让你尽享求知的快乐 《CCNA学习指南(640-802)(第7版)》特色如下： 全面系统地讲解考试目标，提高考生信心； 用动手实验和书面测试强化关键技能； 通过实际场景帮助考生学以致用； 每章附有挑战性的复习题，帮助读者全力备考； 每章一节考试要点，帮考生识别需精通的关键知识； 清晰罗列考试目标，并给出对应章号，帮助考生轻松查阅全书内容。,人民邮电出版社,¥75.90,5106条评论,width: 90%;

杨春晖, /2012-09-01,,清华大学出版社,¥60.00,1060条评论,width: 90%;

全国计算机专业技术资格考试办公室, /2016-10-01,历年试题分析与解答是理解考试大纲*有效、*体的途径。? 本书由全国计算机专业技术资格考试办公室汇集了软件评测师2009至2015年的试题分析与解答，便于考生测试自己水平，发现弱点，并进行有针对性的学习。,清华大学出版社,¥39.20,506条评论,width: 90%;

张友生, /2014-08-01,,清华大学出版社,¥71.20,775条评论,width: 90%;

希赛教育软考学院, /2018-05-01,,电子工业出版社,¥81.00,46条评论,width: 90%;

张友生, /2014-07-01,,清华大学出版社,¥36.00,2431条评论,width: 90%;

全国计算机专业技术资格考试办公室, /2013-08-01,,清华大学出版社,¥44.00,2076条评论,width: 90%;

全国计算机专业技术资格考试办公室推荐, /2016-12-06,? 信息系统项目管理师考试是全国计算机技术与软件专业资格（水平）考试的高级职称考试，也是企业评定系统集成资质必需的证书，是历年软考报名中的热点。? 信息系统项目管理师考试中涉及大量的计算题，是考试的重点也是众多考生的噩梦和难以克服的难点，尤其是下午案例分析中的进度和成本计算题，在软考必须一次考试通过全部科目的背景下，计算题的对错将决定考试成败。? 全面覆盖了自2005年上半年至2015年下半年共20次考试中的全部计算类试题。? 书中系统、详细地解析了这些复杂计算题，详细到每个步骤，同时配有考点回顾和计算公式等相关内容，一切为了考生和读者能够真正吃透计算题。? 考生读懂本书后，可以透彻地掌握考试涉及的所有计算类考点，并能清晰理解考试的命题规律与命题思路，可以大幅提高考试的通过率。,清华大学出版社,¥31.20,463条评论,width: 100%;

全国计算机专业技术资格考试办公室, /2016-10-01,历年试题分析与解答是理解考试大纲*有效、*体的途径。? 本书由全国计算机专业技术资格考试办公室汇集了网络规划设计师2009至2015年的试题分析与解答，便于考生测试自己水平，发现弱点，并进行有针对性的学习。,清华大学出版社,¥55.20,558条评论,width: 100%;

柳纯录, /2009-03-01,老版本哦： 系统集成项目管理工程师教程（全国计算机技术与软件专业技术资格（水平）考试指定用书） 柳纯录编著的《 系统集成项目管理工程师教程》由23章组成。第1～3章介绍信息化、信息技术、信息系统、信息服务相关基础知识；第4～22章介绍项目管理一般知识和核心域(含整体、范围、进度、成本、质量、安全等管理)、保障域(含人力资源、合同、采购、风险、文档知识产权等管理及法律法规、标准规范和职业道德规范)、伴随域(含变更、沟通管理)、过程域(含科研与立项、启动、计划、实施、监控和收尾等管理)的专门知识；第23章介绍了相关案例。,清华大学出版社,¥60.00,3224条评论,width: 90%;

雷震甲, /2014-08-01,在软考中级资格中，报考*热门的，也是在校学生*关注的是网络工程师和软件设计师。 在软考初级资格中，报考*热门的，也是在校本科生*关注的是网络管理员和程序员。 考生一旦通过考试，便有应聘大企业的敲门金砖。 好消息是这四个模块的指定教材，从第 1 版到现在的第 4 版历经 10 年，终于面市了。 更贴近考点，更有利于考生掌握知识点的第 4 版出版后，相信您会有量级的提高。 考试相关用书 网络工程师教程（第4 版） 网络工程师2009 至2012 年试题分析与解答 网络工程师2009 至2014 年试题分析与解答 网络工程师考试冲刺（习题与解答） 网络工程师考试辅导 2012 下半年试题分析与解答 2013 上半年试题分析与解答 2013 下半,清华大学出版社,¥71.20,7745条评论,width: 90%;

