影评	电影简介	电影名称	序号	星级	电影类型
					
1128353人评价	希望让人自由。	肖申克的救赎	1	9.6	1994/美国/犯罪剧情
					
822929人评价	风华绝代。	霸王别姬	2	9.5	1993/中国大陆香港/剧情爱情同性
					
1044583人评价	怪蜀黍和小萝莉不得不说的故事。	这个杀手不太冷	3	9.4	1994/法国/剧情动作犯罪
					
891081人评价	一部美国近现代史。	阿甘正传	4	9.4	1994/美国/剧情爱情
					
519955人评价	最美的谎言。	美丽人生	5	9.5	1997/意大利/剧情喜剧爱情战争
					
828253人评价	失去的才是永恒的。 	泰坦尼克号	6	9.3	1997/美国/剧情爱情灾难
					
828554人评价	最好的宫崎骏，最好的久石让。 	千与千寻	7	9.3	2001/日本/剧情动画奇幻
					
470203人评价	拯救一个人，就是拯救整个世界。	辛德勒的名单	8	9.4	1993/美国/剧情历史战争
					
916481人评价	诺兰给了我们一场无法盗取的梦。	盗梦空间	9	9.3	2010/美国英国/剧情科幻悬疑冒险
					
604506人评价	小瓦力，大人生。	机器人总动员	10	9.3	2008/美国/爱情科幻动画冒险
					
583646人评价	永远都不能忘记你所爱的人。	忠犬八公的故事	11	9.3	2009/美国英国/剧情
					
823138人评价	英俊版憨豆，高情商版谢耳朵。	三傻大闹宝莱坞	12	9.2	2009/印度/剧情喜剧爱情歌舞
					
693808人评价	每个人都要走一条自己坚定了的路，就算是粉身碎骨。 	海上钢琴师	13	9.2	1998/意大利/剧情音乐
					
559369人评价	天籁一般的童声，是最接近上帝的存在。 	放牛班的春天	14	9.2	2004/法国瑞士德国/剧情音乐
					
614494人评价	一生所爱。	大话西游之大圣娶亲	15	9.2	1995/香港中国大陆/喜剧爱情奇幻冒险
					
589968人评价	如果再也不能见到你，祝你早安，午安，晚安。	楚门的世界	16	9.1	1998/美国/剧情科幻
					
415220人评价	千万不要记恨你的对手，这样会让你失去理智。	教父	17	9.2	1972/美国/剧情犯罪
					
510674人评价	人人心中都有个龙猫，童年就永远不会消失。	龙猫	18	9.1	1988/日本/动画奇幻冒险
					
